RecordID,MeasurementUnitID,CowKey,Branch,BranchValue,TrainingBackground,SHAPValue
MEAS_R000024,MEAS_UNIT_000024,C002,SourceMemoryPredicted,39.2546606119176,38.91499800662478,0.033870680665348
MEAS_R000025,MEAS_UNIT_000025,C002,BatchSessionPredicted,39.043404988539,38.928613198614045,0.030754144085946473
MEAS_R000025,MEAS_UNIT_000025,C002,HierarchicalResidualPredicted,39.0608858662047,38.9235325259989,0.09864367028494697
MEAS_R000025,MEAS_UNIT_000025,C002,SourceMemoryPredicted,39.1284167153291,38.92843408225918,0.005625718665654766
MEAS_R000026,MEAS_UNIT_000026,C002,BatchSessionPredicted,38.9955360138373,38.9095405009044,0.026362169760837443
MEAS_R000026,MEAS_UNIT_000026,C002,HierarchicalResidualPredicted,38.9704560088171,38.913415213232696,0.035100277596198055
MEAS_R000026,MEAS_UNIT_000026,C002,SourceMemoryPredicted,38.8455505111748,38.91067586592566,-0.007355873674813374
MEAS_R000027,MEAS_UNIT_000027,C002,BatchSessionPredicted,39.0525363336897,38.925525862622926,0.04528210530279844
MEAS_R000027,MEAS_UNIT_000027,C002,HierarchicalResidualPredicted,38.9648925430575,38.9247237865173,0.018504747953808038
MEAS_R000027,MEAS_UNIT_000027,C002,SourceMemoryPredicted,39.0578189119292,38.92144057833422,0.029013222458807733
MEAS_R000028,MEAS_UNIT_000028,C002,BatchSessionPredicted,38.94812475959,38.9315971341168,0.006879503471713884
MEAS_R000028,MEAS_UNIT_000028,C002,HierarchicalResidualPredicted,38.9761101611247,38.93603031743349,0.024020584039976516
MEAS_R000028,MEAS_UNIT_000028,C002,SourceMemoryPredicted,38.9600641731073,38.93632230805884,-3.0328393461402956e-05
MEAS_R000029,MEAS_UNIT_000029,C002,BatchSessionPredicted,38.987257477488,38.91963385621659,0.025917047494454788
MEAS_R000029,MEAS_UNIT_000029,C002,HierarchicalResidualPredicted,38.9721367458114,38.921054421858756,0.02394521199866415
MEAS_R000029,MEAS_UNIT_000029,C002,SourceMemoryPredicted,38.9075076141235,38.91331205663165,-0.0010094651177839666
MEAS_R000030,MEAS_UNIT_000030,C002,BatchSessionPredicted,39.0774843821941,38.921753924942365,0.06174124348294051
MEAS_R000030,MEAS_UNIT_000030,C002,HierarchicalResidualPredicted,39.0234458961209,38.919739064340945,0.043523431341340055
MEAS_R000030,MEAS_UNIT_000030,C002,SourceMemoryPredicted,39.0244843965982,38.9152778636396,0.02196697785942114
MEAS_R000031,MEAS_UNIT_000031,C002,BatchSessionPredicted,39.1804820557535,38.9315971341168,0.10359653207492496
