RecordID,CowKey,Seed,FoldID,BaseValue,SHAPSum,UnclippedPredicted,ClipAdjustment,Predicted,SavedPredicted
MEAS_R000111,C014,20260523,1,38.920347394886576,-0.6907232946262726,38.2296241002603,7.105427357601002e-15,38.22962410026031,38.22962410026031
MEAS_R000115,C014,20260523,1,38.920347394886576,-0.25792755488938574,38.66241983999719,0.0,38.66241983999719,38.66241983999719
MEAS_R000117,C023,20260523,1,38.920347394886576,0.24931648549634156,39.16966388038292,7.105427357601002e-15,39.16966388038293,39.16966388038293
MEAS_R000120,C023,20260523,1,38.920347394886576,0.03643892037405396,38.95678631526063,7.105427357601002e-15,38.956786315260636,38.95678631526064
MEAS_R000129,C023,20260523,1,38.920347394886576,0.3300470473442887,39.25039444223086,7.105427357601002e-15,39.25039444223087,39.25039444223087
MEAS_R000133,C011,20260523,1,38.920347394886576,-0.8234237017955772,38.096923693091,0.0,38.096923693091,38.096923693091
MEAS_R000140,C004,20260523,1,38.920347394886576,-1.3061891641007202,37.614158230785854,7.105427357601002e-15,37.61415823078586,37.61415823078586
MEAS_R000144,C004,20260523,1,38.920347394886576,-1.3401505161775842,37.58019687870899,7.105427357601002e-15,37.580196878708996,37.580196878709
MEAS_R000151,C028,20260523,1,38.920347394886576,1.3506049371948463,40.27095233208142,7.105427357601002e-15,40.27095233208143,40.27095233208143
MEAS_R000155,C028,20260523,1,38.920347394886576,0.9337915269705628,39.85413892185714,0.0,39.85413892185714,39.85413892185714
MEAS_R000169,C008,20260523,1,38.920347394886576,-0.7708147919610502,38.149532602925525,7.105427357601002e-15,38.14953260292553,38.14953260292553
MEAS_R000170,C008,20260523,1,38.920347394886576,-0.7736921128311853,38.14665528205539,7.105427357601002e-15,38.1466552820554,38.1466552820554
MEAS_R000173,C008,20260523,1,38.920347394886576,-0.669746110418775,38.2506012844678,7.105427357601002e-15,38.250601284467805,38.250601284467805
MEAS_R000174,C008,20260523,1,38.920347394886576,-0.5908938824934227,38.32945351239315,7.105427357601002e-15,38.32945351239316,38.32945351239316
MEAS_R000177,C030,20260523,1,38.920347394886576,1.1775841408771166,40.09793153576369,7.105427357601002e-15,40.0979315357637,40.0979315357637
MEAS_R000179,C030,20260523,1,38.920347394886576,1.3232581497935603,40.243605544680136,7.105427357601002e-15,40.24360554468014,40.24360554468014
MEAS_R000185,C030,20260523,1,38.920347394886576,1.1724871679367777,40.092834562823356,0.0,40.092834562823356,40.09283456282336
MEAS_R000190,C018,20260523,1,38.920347394886576,-0.11158932644823925,38.80875806843834,0.0,38.80875806843834,38.80875806843834
MEAS_R000198,C018,20260523,1,38.920347394886576,-0.13715386437656255,38.78319353051001,7.105427357601002e-15,38.78319353051002,38.78319353051002
MEAS_R000200,C018,20260523,1,38.920347394886576,-0.16713101010053721,38.753216384786036,7.105427357601002e-15,38.75321638478604,38.75321638478604
MEAS_R000210,C025,20260523,1,38.920347394886576,0.48908181538934614,39.409429210275924,0.0,39.409429210275924,39.40942921027592
