RecordID,CowKey,BaseValue,SHAPSum,ClipAdjustment,Predicted,SavedPredicted
MEAS_R000066,C027,38.91674418646186,-0.24524609163552333,7.105427357601002e-15,38.67149809482635,38.67149809482635
MEAS_R000067,C027,38.91235154376939,-0.21911222980605188,-7.105427357601002e-15,38.69323931396333,38.69323931396333
MEAS_R000068,C027,38.89673366723968,-0.08939610246846068,0.0,38.80733756477122,38.80733756477122
MEAS_R000069,C027,38.900228311757246,-0.16248769381295414,0.0,38.73774061794429,38.73774061794429
MEAS_R000070,C027,38.89858156098377,0.0523687034551684,0.0,38.95095026443894,38.95095026443894
MEAS_R000071,C027,38.89673366723968,0.09371409285658791,0.0,38.99044776009627,38.99044776009627
MEAS_R000072,C027,38.92040302369604,0.06376277485032546,7.105427357601002e-15,38.98416579854637,38.98416579854637
MEAS_R000073,C026,38.88295165275932,-0.24971993522107444,0.0,38.633231717538244,38.63323171753824
MEAS_R000074,C026,38.91608040415947,-0.2772657017226706,0.0,38.638814702436804,38.6388147024368
MEAS_R000075,C026,38.890214795702306,-0.30536025031996045,-7.105427357601002e-15,38.58485454538234,38.58485454538234
MEAS_R000076,C026,38.91896955437967,-0.1594212313783715,0.0,38.7595483230013,38.7595483230013
MEAS_R000077,C026,38.900228311757246,-0.13668787827602263,0.0,38.763540433481225,38.763540433481225
MEAS_R000078,C026,38.89858156098377,-0.22465934136037446,-7.105427357601002e-15,38.67392221962339,38.67392221962339
MEAS_R000079,C026,38.88295165275932,-0.14887587306817401,0.0,38.734075779691146,38.734075779691146
MEAS_R000080,C016,38.91971830990193,-0.2640094434344324,0.0,38.6557088664675,38.6557088664675
MEAS_R000081,C016,38.91511627920176,-0.28070168495196623,0.0,38.6344145942498,38.6344145942498
MEAS_R000082,C016,38.91674418646186,-0.34968225592094243,0.0,38.56706193054092,38.56706193054092
MEAS_R000083,C016,38.92043795698664,-0.3619998931569959,0.0,38.55843806382964,38.55843806382964
