TargetRowID,TechnicalBaselinePrediction_C,FullPipelinePrediction_C,OfficialOOFPrediction_C,ReconstructedPrediction_C,AdditivityDifference_C,ConditionalVsOfficialDifference_C
132,38.1088524207346,38.125311975106186,38.125311975106186,38.12531197510619,7.105427357601002e-15,0.0
133,38.0971024629911,38.08073416569751,38.08073416569751,38.0807341656975,-7.105427357601002e-15,0.0
134,38.082424064255,38.12271842629136,38.12271842629136,38.1227184262914,4.263256414560601e-14,0.0
135,38.092079387578,38.32401753785025,38.32401753785025,38.32401753785031,5.684341886080803e-14,0.0
136,38.1292453775536,38.19835703158087,38.19835703158087,38.1983570315809,2.8421709430404014e-14,0.0
137,38.4653257184317,38.4117574320878,38.4117574320878,38.4117574320878,-7.105427357601002e-15,0.0
138,38.0922091857749,38.40348456843965,38.40348456843965,38.4034845684396,-4.973799150320701e-14,0.0
139,37.9928304559386,37.81600364140706,37.81600364140706,37.81600364140711,4.973799150320701e-14,0.0
140,38.1764376783646,37.61415823078586,37.61415823078586,37.614158230785904,4.263256414560601e-14,0.0
141,38.6573369731532,37.57004035585347,37.57004035585347,37.57004035585351,3.5527136788005016e-14,0.0
142,38.1003780492087,37.65194033105964,37.65194033105964,37.6519403310596,-4.263256414560601e-14,0.0
143,38.0653371735668,37.62034570034517,37.62034570034517,37.6203457003452,3.5527136788005016e-14,0.0
144,38.17226046199,37.580196878709,37.580196878709,37.580196878709,-7.105427357601002e-15,0.0
145,38.4549795115026,37.66161835430108,37.66161835430108,37.66161835430111,2.131628207280301e-14,0.0
146,38.1583272437707,37.5908823678578,37.5908823678578,37.5908823678578,0.0,0.0
147,38.0964014885201,37.55466557646991,37.55466557646991,37.55466557646989,-1.4210854715202004e-14,0.0
148,38.1589734326092,37.80268754600943,37.80268754600943,37.8026875460094,-2.8421709430404014e-14,0.0
149,38.2088176581465,37.719054006873,37.719054006873,37.719054006872994,-7.105427357601002e-15,0.0
150,38.0778804324857,37.7063816846527,37.7063816846527,37.7063816846527,0.0,0.0
151,38.1788156494902,40.26257501351625,40.26257501351625,40.262575013516205,-4.263256414560601e-14,0.0
152,38.1202174495875,40.16489906790218,40.16489906790218,40.1648990679022,2.131628207280301e-14,0.0
153,38.5132677501754,40.16903434317023,40.16903434317023,40.1690343431702,-2.8421709430404014e-14,0.0
154,38.1894140491912,40.187990029465695,40.187990029465695,40.187990029465695,0.0,0.0
155,38.2290204831419,39.85413892185714,39.85413892185714,39.85413892185711,-3.5527136788005016e-14,0.0
156,38.1555224996222,40.23185814668927,40.23185814668927,40.23185814668929,2.131628207280301e-14,0.0
157,38.1508246081781,40.09057422856595,40.09057422856595,40.09057422856591,-4.263256414560601e-14,0.0
158,38.4612084110981,40.216494608642655,40.216494608642655,40.2164946086427,4.263256414560601e-14,0.0
159,38.2926263044288,40.070018273812494,40.070018273812494,40.070018273812494,0.0,0.0
160,38.1409797524653,40.12988398658676,40.12988398658676,40.1298839865867,-6.394884621840903e-14,0.0
161,38.1361072512515,40.25629255445597,40.25629255445597,40.256292554456,2.8421709430404014e-14,0.0
162,38.0321219147366,40.28737176282005,40.28737176282005,40.28737176281999,-6.394884621840903e-14,0.0
163,38.3191916015866,40.306765214885054,40.306765214885054,40.306765214885104,4.973799150320701e-14,0.0
164,38.4663835063564,38.34829996971686,38.34829996971686,38.34829996971689,2.8421709430404014e-14,0.0
