Distance_m,Direction,Packets_sent,Packets_received,PDR_percent,RSSI_mean_dBm,RSSI_SD_dBm,RSSI_median_dBm,RSSI_min_dBm,RSSI_max_dBm,Received_count_RSSI,SNR_mean_dB,SNR_SD_dB,SNR_median_dB,SNR_min_dB,SNR_max_dB,Received_count_SNR
200,东南,100,95,95.0,-128.14526315789473,3.457147034984276,-128.1,-134.7,-119.6,95,-0.16842105263157894,1.2586942878198701,-0.3,-3.2,2.9,95
200,北,100,93,93.0,-124.99354838709677,2.978320450668858,-124.9,-131.6,-118.6,93,1.0064516129032257,1.0948303870634881,1.2,-2.7,3.5,93
200,南,100,95,95.0,-127.14105263157894,3.076765873751415,-127.1,-133.0,-119.4,95,0.44842105263157894,1.0845984802597959,0.5,-2.5,3.3,95
200,西,100,93,93.0,-127.13118279569893,3.3106211979358964,-127.7,-133.6,-118.3,93,0.15591397849462368,1.1775492573091941,0.2,-2.2,2.7,93
200,西北,100,90,90.0,-126.32111111111111,3.198928698639013,-126.85,-131.9,-118.3,90,0.6944444444444444,1.1842943294116768,0.6499999999999999,-2.3,3.2,90
200,西南,100,95,95.0,-128.20736842105265,3.408632411395136,-128.4,-135.2,-120.0,95,-0.371578947368421,1.2781022465920167,-0.4,-3.7,2.3,95
250,东,100,82,82.0,-137.33170731707318,3.30334204314658,-137.0,-144.3,-130.0,82,-3.4158536585365855,1.3853260535397722,-3.7,-6.4,0.4,82
250,东北,100,83,83.0,-135.47710843373494,3.369530809822437,-135.6,-142.0,-128.3,83,-3.273493975903614,1.4176659224394843,-3.4,-7.0,-0.8,83
250,东南,100,83,83.0,-138.33132530120483,3.266120534228358,-138.4,-145.1,-131.0,83,-4.0036144578313255,1.1444932612970142,-4.2,-6.1,-0.7,83
250,北,100,84,84.0,-134.88809523809525,3.129163434218375,-134.85,-141.4,-128.5,84,-2.8607142857142858,1.357266730464128,-2.8,-5.8,0.7,84
250,南,100,88,88.0,-136.89204545454547,3.2747456369031007,-136.8,-144.6,-129.0,88,-3.598863636363636,1.4332259503893248,-3.6,-6.3,-0.5,88
