RecordID,RowID,CowKey,Ear_C,Air_C,Time_hour,EarAirGap_C,SHAP_Ear_temperature_C,SHAP_Ambient_temperature_C,SHAP_Time_diurnal_C,SHAP_Cow_identity_C,TechnicalBaselinePrediction_C,ConditionalFullPipelinePrediction_C,ReconstructedPrediction_C,AdditivityDifference_C,OfficialOOFPrediction_C,ConditionalVsOfficialDifference_C
TEMP_R000176,176,C022,25.3,5.0,11,20.3,-0.1351324182176346,0.005402170589166623,0.1744731364966002,-0.04672403365503541,38.2883286242968,38.2863474795099,38.2863474795099,0.0,38.29400559226124,-0.00765811275134354
TEMP_R000177,177,C022,32.2,6.1,11,26.1,-0.07786229425762593,-0.11836529746854119,-0.2996889489827084,-0.030436531127926138,38.6847493711905,38.1583962993537,38.1583962993537,0.0,38.1592367295278,-0.000840430174100959
TEMP_R000178,178,C022,32.2,6.1,11,26.1,-0.0786374661908494,-0.10576630119606752,-0.2989329729583652,-0.028978456387716754,38.6845491412407,38.1722339445077,38.1722339445077,0.0,38.17229213254144,-5.81880337406915e-05
TEMP_R000179,179,C022,29.7,6.9,12,22.8,-0.06364379809736675,-0.028961289827702075,-0.09488157291615096,-0.010486651117684431,38.3034846266637,38.1055113147048,38.1055113147048,0.0,38.10437872230685,0.00113259239795127
TEMP_R000180,180,C022,29.7,6.9,12,22.8,-0.044253290057116715,-0.026253815020635216,-0.12017237327313227,0.005140402336384277,38.2868034619379,38.1012643859234,38.1012643859234,0.0,38.10398173590873,-0.00271734998533191
TEMP_R000181,181,C022,32.8,6.8,12,26,-0.3588397370971551,0.0025464866587251813,-0.06352750787527484,-0.02167361126429057,38.6833717949025,38.2418774253245,38.2418774253245,0.0,38.20828595245844,0.033591472866064
TEMP_R000182,182,C022,32.8,6.8,12,26,-0.36001140283409916,0.0025526792174327784,-0.06356963471233357,-0.020668233207000952,38.6836098474694,38.2419132559334,38.2419132559334,0.0,38.20906139841658,0.0328518575168175
TEMP_R000183,183,C022,31.3,9.3,13,22,0.22269637863753525,-0.03770534979424885,-0.2841695183043148,-0.024540171785165654,38.6831398754498,38.5594212142036,38.5594212142036,0.0,38.571424487356886,-0.0120032731532831
TEMP_R000184,184,C022,31.3,9.3,13,22,0.2190631723302078,-0.03431430807677671,-0.28416951830432424,-0.01976744049600635,38.6833779280167,38.5641898334698,38.5641898334698,0.0,38.57934271937836,-0.015152885908563
TEMP_R000185,185,C022,32.5,8.0,13,24.5,0.07733859912215023,0.09640396156896831,0.16978793842984766,0.02618314903373431,38.2849612651921,38.6546749133468,38.6546749133468,0.0,38.65404922572488,0.000625687621919724
TEMP_R000186,186,C022,32.5,8.0,13,24.5,0.07840419389506612,0.10018377675464821,0.17433343426711723,0.020047766681666815,38.2891711657904,38.6621403373889,38.6621403373889,0.0,38.655674712359904,0.00646562502899428
TEMP_R000187,187,C022,31.2,8.8,14,22.4,0.42092792804125934,-0.004258816678641253,-0.14552849235772494,-0.004418035567493799,38.6816515808623,38.9483741642997,38.9483741642997,0.0,38.94569022437288,0.00268393992681837
TEMP_R000188,188,C022,31.2,8.8,14,22.4,0.575982293069184,-0.0030801507737662583,-6.323742049711237e-06,0.03554715723823598,38.3019540852738,38.9103970610654,38.9103970610654,0.0,38.90325548957416,0.00714157149124617
TEMP_R000189,189,C022,32.3,9.1,15,23.2,0.5693944699076567,0.20418902623927457,0.2894648565942243,0.04631716923044138,38.2845808758163,39.3939463977879,39.3939463977879,0.0,39.394545212370005,-0.000598814582104978
TEMP_R000190,190,C022,32.3,9.1,15,23.2,0.5450468744770914,0.22422347727709102,0.29896500962055994,0.011201281150957126,38.3016192037017,39.3810558462274,39.3810558462274,0.0,39.37754476499315,0.00351108123425092
TEMP_R000191,191,C022,33.3,11.2,15,22.1,-0.08352716579681818,-0.1376140494331685,-0.04117133681556773,-0.022220425883250648,38.2847373367587,38.0002043588299,38.0002043588299,0.0,37.99769983197476,0.00250452685514091
TEMP_R000192,192,C022,33.3,11.2,15,22.1,-0.14181958952269072,-0.46339246887032515,0.0001605390914919032,-0.05650513359507592,38.6828407765358,38.0212841236392,38.0212841236392,0.0,38.05319152196693,-0.031907398327732
TEMP_R000193,193,C022,32.9,9.0,19,23.9,0.006473799102250183,0.00855493818244804,0.04315707376248193,-0.056909330099982704,38.2908498087373,38.2921262896845,38.2921262896845,0.0,38.29435768697459,-0.00223139729009603
TEMP_R000194,194,C022,32.9,9.0,19,23.9,0.0116331305680107,0.009129329225774654,0.04390869704889215,-0.057946025833273865,38.287756201045,38.2944813320544,38.2944813320544,0.0,38.290663050894175,0.00381828116022831
TEMP_R000195,195,C022,31.5,6.0,21,25.5,-0.49214873688699434,-0.07980429227499108,0.13455741211378994,-0.048315849601409035,38.6827119893857,38.1970005227361,38.1970005227361,0.0,38.19735486919146,-0.000354346455360144
TEMP_R000196,196,C022,31.5,6.0,21,25.5,-0.5970270974146761,-0.060159850480789714,0.2231038914258902,-0.060881969251325906,38.6832160283286,38.1882510026077,38.1882510026077,0.0,38.21060670531772,-0.0223557027100227
TEMP_R000197,197,C022,31.1,5.4,22,25.7,-0.16088864646674078,-0.03709055405075823,0.13516910499399212,-0.04154610117219033,38.2894706020632,38.1851144053675,38.1851144053675,0.0,38.186722200154975,-0.00160779478747486
TEMP_R000198,198,C022,31.1,5.4,22,25.7,-0.14113604277282477,-0.018523265953426474,0.07536965384249089,-0.05779065285474279,38.3028236711362,38.1607433633977,38.1607433633977,0.0,38.16507043034051,-0.00432706694281393
TEMP_R000199,199,C022,32.1,5.5,23,26.6,0.03746401057230682,0.03714067960652242,0.11780228515675795,-0.045844699870791907,38.3016448824807,38.4482071579455,38.4482071579455,0.0,38.44659986957341,0.00160728837208524
TEMP_R000200,200,C022,32.1,5.5,23,26.6,0.11543067969800862,0.036398173020858224,0.04673763011177634,-0.028758345144141252,38.289010589933,38.4588187276195,38.4588187276195,0.0,38.44781124062696,0.0110074869925398
TEMP_R000201,201,C014,28.2,5.4,0,22.8,0.0757747562423076,0.042223181997706284,0.12123354183419187,-0.056780217845609236,38.2852321081232,38.4676833703518,38.4676833703518,0.0,38.46374898563416,0.0039343847176383
TEMP_R000202,202,C014,28.2,5.4,0,22.8,-0.29344151575224825,-0.032263557099883634,0.17081773734025063,-0.0601724664548146,38.6787569239691,38.4636971220024,38.4636971220024,0.0,38.456825575844974,0.00687154615742713
