RecordID,CowKey,Source,RowID,SourceRowID,EarTemperature_C,CoreReferenceTemperature_C,AmbientTemperature_C,MeasurementTime_hour,SourceType,EarStatus,SourceWeight,SeqInCowSource,CowSourceN,EarLag1_C,EarLag2_C,AmbientLag1_C,EarDelta1_C,AmbientDelta1_C,TimeSin,TimeCos,ThermalLoad,EarAirGap_C,HotFlag,NightFlag
TEMP_R000110,C001,S03,110,182,30.5,38.2,9.0,19,reference_stratum_1,ear_status_2,0.85,22,28,30.5,33.9,9,0,0,-0.965925826289068,0.25881904510252,0,21.5,0,0
TEMP_R000111,C001,S03,111,49,29.6,38.3,6.0,21,reference_stratum_1,ear_status_2,0.85,23,28,30.5,30.5,9,-0.899999999999999,-3,-0.707106781186548,0.707106781186547,0,23.6,0,1
TEMP_R000112,C001,S03,112,183,29.6,38.3,6.0,21,reference_stratum_1,ear_status_2,0.85,24,28,29.6,30.5,6,0,0,-0.707106781186548,0.707106781186547,0,23.6,0,1
TEMP_R000113,C001,S03,113,50,30.6,38.1,5.4,22,reference_stratum_1,ear_status_2,0.85,25,28,29.6,29.6,6,1,-0.6,-0.5,0.866025403784438,0,25.2,0,1
TEMP_R000114,C001,S03,114,184,30.6,38.1,5.4,22,reference_stratum_1,ear_status_2,0.85,26,28,30.6,29.6,5.4,0,0,-0.5,0.866025403784438,0,25.2,0,1
TEMP_R000115,C001,S03,115,51,30.5,38.1,5.5,23,reference_stratum_1,ear_status_2,0.85,27,28,30.6,30.6,5.4,-0.100000000000001,0.0999999999999996,-0.258819045102522,0.965925826289068,0,25,0,1
TEMP_R000116,C001,S03,116,185,30.5,38.1,5.5,23,reference_stratum_1,ear_status_2,0.85,28,28,30.5,30.6,5.5,0,0,-0.258819045102522,0.965925826289068,0,25,0,1
TEMP_R000117,C027,S03,117,52,29.5,38.9,5.4,0,reference_stratum_1,ear_status_2,0.85,1,24,29.5,29.5,5.4,0,0,0,1,0,24.1,0,1
TEMP_R000118,C027,S03,118,186,29.5,38.9,5.4,0,reference_stratum_1,ear_status_2,0.85,2,24,29.5,29.5,5.4,0,0,0,1,0,24.1,0,1
TEMP_R000119,C027,S03,119,54,30.9,41.5,6.1,11,reference_stratum_1,ear_status_2,0.85,3,24,29.5,29.5,5.4,1.4,0.699999999999999,0.258819045102521,-0.965925826289068,0,24.8,0,0
TEMP_R000120,C027,S03,120,188,30.9,41.5,6.1,11,reference_stratum_1,ear_status_2,0.85,4,24,30.9,29.5,6.1,0,0,0.258819045102521,-0.965925826289068,0,24.8,0,0
TEMP_R000121,C027,S03,121,53,31.5,38.7,5.0,11,reference_stratum_1,ear_status_2,0.85,5,24,30.9,30.9,6.1,0.600000000000001,-1.1,0.258819045102521,-0.965925826289068,0,26.5,0,0
TEMP_R000122,C027,S03,122,187,31.5,38.7,5.0,11,reference_stratum_1,ear_status_2,0.85,6,24,31.5,30.9,5,0,0,0.258819045102521,-0.965925826289068,0,26.5,0,0
TEMP_R000123,C027,S03,123,55,31.9,38.5,6.9,12,reference_stratum_1,ear_status_2,0.85,7,24,31.5,31.5,5,0.399999999999999,1.9,1.22460635382238e-16,-1,0,25,0,0
TEMP_R000124,C027,S03,124,189,31.9,38.5,6.9,12,reference_stratum_1,ear_status_2,0.85,8,24,31.9,31.5,6.9,0,0,1.22460635382238e-16,-1,0,25,0,0
TEMP_R000125,C027,S03,125,57,31.1,38.6,8.0,13,reference_stratum_1,ear_status_2,0.85,9,24,31.9,31.9,6.9,-0.799999999999997,1.1,-0.258819045102521,-0.965925826289068,0,23.1,0,0
TEMP_R000126,C027,S03,126,191,31.1,38.6,8.0,13,reference_stratum_1,ear_status_2,0.85,10,24,31.1,31.9,8,0,0,-0.258819045102521,-0.965925826289068,0,23.1,0,0
TEMP_R000127,C027,S03,127,56,32.8,38.5,9.3,13,reference_stratum_1,ear_status_2,0.85,11,24,31.1,31.1,8,1.7,1.3,-0.258819045102521,-0.965925826289068,0,23.5,0,0
TEMP_R000128,C027,S03,128,190,32.8,38.5,9.3,13,reference_stratum_1,ear_status_2,0.85,12,24,32.8,31.1,9.3,0,0,-0.258819045102521,-0.965925826289068,0,23.5,0,0
TEMP_R000129,C027,S03,129,58,33.8,38.6,8.8,14,reference_stratum_1,ear_status_2,0.85,13,24,32.8,32.8,9.3,1,-0.5,-0.5,-0.866025403784439,0,25,0,0
TEMP_R000130,C027,S03,130,192,33.8,38.6,8.8,14,reference_stratum_1,ear_status_2,0.85,14,24,33.8,32.8,8.8,0,0,-0.5,-0.866025403784439,0,25,0,0
TEMP_R000131,C027,S03,131,59,30.7,38.5,11.2,15,reference_stratum_1,ear_status_2,0.85,15,24,33.8,33.8,8.8,-3.1,2.4,-0.707106781186547,-0.707106781186548,0,19.5,0,0
TEMP_R000132,C027,S03,132,193,30.7,38.5,11.2,15,reference_stratum_1,ear_status_2,0.85,16,24,30.7,33.8,11.2,0,0,-0.707106781186547,-0.707106781186548,0,19.5,0,0
TEMP_R000133,C027,S03,133,60,33.9,38.5,9.1,15,reference_stratum_1,ear_status_2,0.85,17,24,30.7,30.7,11.2,3.2,-2.1,-0.707106781186547,-0.707106781186548,0,24.8,0,0
TEMP_R000134,C027,S03,134,194,33.9,38.5,9.1,15,reference_stratum_1,ear_status_2,0.85,18,24,33.9,30.7,9.1,0,0,-0.707106781186547,-0.707106781186548,0,24.8,0,0
TEMP_R000135,C027,S03,135,61,32.3,39.1,9.0,19,reference_stratum_1,ear_status_2,0.85,19,24,33.9,33.9,9.1,-1.6,-0.0999999999999996,-0.965925826289068,0.25881904510252,0,23.3,0,0
TEMP_R000136,C027,S03,136,195,32.3,39.1,9.0,19,reference_stratum_1,ear_status_2,0.85,20,24,32.3,33.9,9,0,0,-0.965925826289068,0.25881904510252,0,23.3,0,0
TEMP_R000137,C027,S03,137,62,32.5,39.1,6.0,21,reference_stratum_1,ear_status_2,0.85,21,24,32.3,32.3,9,0.200000000000003,-3,-0.707106781186548,0.707106781186547,0,26.5,0,1
TEMP_R000138,C027,S03,138,196,32.5,39.1,6.0,21,reference_stratum_1,ear_status_2,0.85,22,24,32.5,32.3,6,0,0,-0.707106781186548,0.707106781186547,0,26.5,0,1
