BootstrapID,N,R2,RMSE,MAE,Bias
186,521,0.8456537386907838,0.2996844885292603,0.16677564012339668,0.001697746733572534
187,525,0.7852127068626137,0.33729008004564853,0.18489971200068947,-0.009276915067841666
188,517,0.8515524522323025,0.2800230140240925,0.16534349034073223,-0.004604499333813688
189,520,0.81181650525015,0.3324226958555077,0.19128756471815775,0.005941144855504865
190,519,0.8534027815882853,0.2712135233039347,0.1426579883521732,0.0036370422968109183
191,520,0.8559901926562623,0.30671404693297094,0.16626558082882525,-0.005585498528663198
192,519,0.8463698286692245,0.294458478265866,0.17368303007540092,0.0061620074127326325
193,523,0.7951735784216343,0.34546011310360886,0.19055827002206113,0.0002633426714559949
194,516,0.8671199411578365,0.25770464162293133,0.14381473123183647,0.009829097886116222
195,518,0.8495349601767479,0.2698310424595889,0.13809378399763703,-0.0024231742656468597
196,521,0.8308102372832784,0.34161415136115575,0.18785849093068271,-0.007869047447180972
197,516,0.8241628738515145,0.3140266854988029,0.17125281990732624,0.017622163090185664
198,522,0.8635528011034459,0.28171033567026116,0.157891841643232,0.01355180654442814
199,521,0.8044400628535339,0.2816106363053097,0.14989915002896148,0.0028664166553069304
200,516,0.7743471074264394,0.3300698934321472,0.17148847930101643,0.006960961724369258
201,523,0.7500603519709634,0.3506921102879823,0.2163481282779994,0.003087184012743104
202,518,0.793088185447902,0.31720240630997987,0.18508107056976789,-0.0014646486777866333
203,520,0.8464007481586474,0.29082530815094537,0.17050659770435775,-0.0005592358772063176
204,520,0.8555438201330022,0.2884531429444741,0.1605109337243192,0.0002543187893692105
205,523,0.9103490749885744,0.24644250316780653,0.13656118475024606,-0.007204477905736611
206,522,0.8089305399590417,0.3445591787323747,0.1887462089162794,-0.005804792493562588
207,523,0.8838580811955055,0.2783508145111643,0.1612596131491285,0.011691341736019418
208,521,0.8592154984681102,0.26826208460593753,0.16151235285069448,0.003970268766164064
209,518,0.853889002807925,0.27566821622220106,0.14814846590650627,0.006737407093578621
210,518,0.884809662168,0.2630472063290243,0.13566974576839522,0.0006889457356381995
211,528,0.8270622818254176,0.33503177419593944,0.17718281526433943,-0.006546801007174193
212,521,0.7987513880338819,0.3037116597222611,0.17475795450734818,0.0017638648885455813
213,525,0.8409258967278406,0.3123653473065654,0.19280927805785164,-0.002287405509828651
214,519,0.8350629957143625,0.29382766696795004,0.14230942406008196,0.008992641350015373
215,520,0.7265179818540344,0.31160566649868804,0.17111630371241532,0.010122463944718272
216,523,0.9099178839179483,0.21561018501366064,0.11850496777465265,0.001992400891888562
217,519,0.7983981290265858,0.3093011027821205,0.1746631148732427,0.011008525600185708
218,522,0.8867355595060372,0.2905886461419475,0.15695203457323773,0.0006264976441620745
219,512,0.8566932372884467,0.2821761837657911,0.13425423151090962,0.0032320066516233203
220,517,0.8931595058705589,0.24519716182638718,0.14175189570413455,-0.0010639964640717777
221,521,0.8390888164335473,0.2943253096779103,0.16216812147424675,0.0003379451548399492
222,521,0.7729119067903749,0.34773382158628247,0.18671305487455248,-0.007152451500360421
223,520,0.7715741635758471,0.33685908038768114,0.18444782335802967,0.007457513522128969
224,522,0.8464652147542502,0.2869021970667466,0.1598591312554828,0.0015119220067968215
225,517,0.7581302695891924,0.3354091529817595,0.1794002198172532,0.0013633441888282664
226,522,0.8696451002586529,0.2987089313424864,0.1593451882093642,0.0005005179370110272
227,519,0.8730115609032899,0.2577435462136302,0.14786934852905503,-0.003124004732434352
228,514,0.8661973073806055,0.23886943378373512,0.13850699766602273,0.008893427507292715
229,522,0.8258412858051559,0.3210363225803491,0.18191647238826608,0.0013435562729877883
230,522,0.7925910296545979,0.34048609117780165,0.1871560933831471,-0.0028839030397390156
231,519,0.6615766609415275,0.40665376195865766,0.20618655569236927,0.00870148472567096
232,518,0.8257920594971072,0.30955444855650094,0.14260041299105428,-0.001524027139658472
233,521,0.7819604015178491,0.3507123941521442,0.1849477344506443,-0.0030973422891716366
234,518,0.8054936268604102,0.3085072938454821,0.17418568519258637,0.003665127664713518
235,518,0.8404543734712151,0.29395179663146,0.17461204284991505,0.010319489391062111
236,518,0.8534203533013746,0.2575233196171405,0.1429851898128985,0.0025304340872229244
237,528,0.8365087118804414,0.3152140408830187,0.17184800454861626,0.00023651520449638895
238,518,0.8714913554019287,0.26656475555379616,0.13787838938350694,0.006058317432108324
239,516,0.8535676993079344,0.2774116538726918,0.14297157334806856,-0.004568977649326974
240,525,0.8523562666504628,0.2997545611358768,0.16936697871977435,-0.003397142394158401
241,520,0.9133276919170228,0.24609302151916798,0.12585837447000062,-0.0014713967849660392
242,519,0.8307687717233274,0.3283582148252161,0.17466014104994304,-0.00804555246147576
243,518,0.8069946113803704,0.3187743982858545,0.1685199790045062,0.006648276809773411
244,523,0.8978928750941649,0.2645612757419858,0.14361822801074944,0.0045986250558766656
245,525,0.8165900310939429,0.30143675407088166,0.1665624973060662,-0.0014723172245510747
246,522,0.8360615809937368,0.3381879936387896,0.18920980018512176,0.0021165918844336844
247,521,0.8477024316014043,0.28597224779940705,0.17603602709636268,0.002846956445392717
248,523,0.8770336684322664,0.29110959485982296,0.15523256254331408,-0.006793779902273293
249,520,0.8147879378715881,0.33672983529063705,0.1832314290540084,-0.001466086883440577
250,523,0.8428024970260355,0.3080966340917083,0.16750228815098522,-0.0006833345905057077
251,523,0.8121997961107509,0.35041316957229784,0.17376446057232847,-0.0032694975583930194
252,517,0.8583712085750148,0.28077247560004315,0.16583764901548562,0.006952272022124147
253,524,0.8130096735778984,0.29370901493467416,0.155296218006942,0.003986367450798232
254,519,0.7885497696537798,0.3000089476755505,0.17078434253398433,0.00615184807196085
255,519,0.8753614076861079,0.2843122305791816,0.1594670571131018,-0.00045838838758196034
256,523,0.8669130992723738,0.28931534555574173,0.17267873332618253,0.002679649522460483
257,520,0.8155238503195428,0.35763218580492767,0.19333338801870212,-0.002476992694953932
258,522,0.7978798366448083,0.3404849873044936,0.18230208856528535,-0.0037436133589930183
259,520,0.8817595918596048,0.2801293464663019,0.1406592890404602,-0.0015134196645283473
260,522,0.7669253127632746,0.30775770676816405,0.16782896317978305,0.008033767957573067
261,520,0.7936628218292279,0.31053303289758727,0.17106370543632246,0.0003768700424392462
262,524,0.8498547039063489,0.2960249476646756,0.16996235503519097,-0.007303295915841676
263,524,0.8364212007314991,0.3393241326707731,0.18051391650621143,-0.009801824158642529
264,515,0.9155156460833638,0.23361643988553285,0.12798226608050234,-0.0047869617655863115
265,518,0.8413863714370239,0.3395199699766274,0.17122617967913706,-0.004517897614778421
266,516,0.7985857372582288,0.26354481417365216,0.15818370458055622,0.008791161015554692
267,520,0.8961072752133467,0.23949454373760645,0.1399404163536125,0.004805070403609704
268,522,0.8191908214383709,0.3007183672591953,0.17858623002316967,-0.004308340344930747
269,517,0.8196134517475759,0.31478424315589787,0.16152239380267347,-0.0010508917356494374
