Ear_surface_temperature_C,Local_ambient_temperature_C,Core_temperature_C,Compensation_gap_C
30.4,5.0,38.5,8.100000000000001
31.6,6.8,38.1,6.5
31.2,6.0,39.2,8.000000000000004
31.5,5.4,38.8,7.299999999999997
31.0,5.5,38.4,7.399999999999999
32.8,9.3,38.8,6.0
33.0,8.0,38.9,5.899999999999999
33.0,8.0,38.9,5.899999999999999
33.5,6.0,39.9,6.399999999999999
33.8,5.4,39.4,5.600000000000001
33.3,5.5,39.3,6.0
30.2,16.0,38.0,7.800000000000001
30.7,11.8,39.1,8.400000000000002
31.4,5.4,39.0,7.600000000000001
33.1,11.2,38.5,5.399999999999999
32.9,5.4,38.2,5.300000000000004
33.1,5.0,39.1,6.0
34.2,6.9,38.5,4.299999999999997
33.6,8.8,38.5,4.899999999999999
35.0,11.2,38.5,3.5
31.6,9.3,38.0,6.399999999999999
31.8,8.8,38.0,6.199999999999999
33.9,11.2,38.1,4.200000000000003
30.9,6.1,41.5,10.600000000000001
30.7,11.2,38.5,7.800000000000001
32.2,6.9,38.0,5.799999999999997
31.9,9.3,38.1,6.200000000000003
32.2,6.1,38.1,5.899999999999999
32.8,6.8,38.7,5.900000000000006
31.3,9.3,38.2,6.900000000000002
31.6,6.8,38.1,6.5
30.8,8.0,37.5,6.699999999999999
31.0,5.5,38.4,7.399999999999999
30.7,5.4,38.3,7.599999999999998
32.6,6.1,39.4,6.799999999999997
35.3,9.1,39.0,3.700000000000003
35.9,33.0,39.1,3.200000000000003
35.3,32.3,40.0,4.700000000000003
34.8,31.4,39.8,5.0
35.9,33.4,38.6,2.700000000000003
35.0,33.2,39.6,4.600000000000001
36.6,34.3,38.6,2.0
36.1,32.5,39.3,3.1999999999999957
34.6,29.6,40.6,6.0
37.9,36.9,39.0,1.1000000000000014
38.9,38.8,39.5,0.6000000000000014
38.2,36.8,39.4,1.1999999999999957
35.3,31.8,39.3,4.0
34.4,30.8,39.4,5.0
35.3,31.5,38.5,3.200000000000003
34.6,32.1,38.2,3.6000000000000014
36.9,35.6,38.2,1.3000000000000043
34.6,30.4,40.0,5.399999999999999
35.1,32.4,38.5,3.3999999999999986
37.6,34.2,39.7,2.1000000000000014
36.9,33.8,39.6,2.700000000000003
37.7,33.1,40.7,3.0
37.2,31.8,40.6,3.3999999999999986
29.3,20.6,39.3,9.999999999999996
32.9,25.3,39.0,6.100000000000001
36.0,33.2,38.0,2.0
36.5,33.6,38.4,1.8999999999999986
35.2,30.6,40.5,5.299999999999997
30.0,13.1,38.3,8.299999999999997
29.2,10.9,38.2,9.000000000000004
31.4,5.4,39.0,7.600000000000001
33.3,6.1,38.8,5.5
32.0,9.0,39.0,7.0
32.0,6.0,38.6,6.600000000000001
32.0,6.0,38.6,6.600000000000001
32.9,5.4,38.2,5.300000000000004
34.2,6.9,38.5,4.299999999999997
36.2,6.8,39.3,3.0999999999999943
32.6,6.0,39.7,7.100000000000001
32.6,6.0,39.7,7.100000000000001
32.9,6.9,38.0,5.100000000000001
33.2,9.3,38.1,4.899999999999999
35.0,11.2,38.5,3.5
31.3,6.0,38.4,7.099999999999998
32.1,5.4,38.4,6.299999999999997
29.8,5.4,38.0,8.2
33.1,6.1,39.2,6.100000000000001
31.9,6.8,38.0,6.100000000000001
31.8,8.8,38.0,6.199999999999999
33.9,11.2,38.1,4.200000000000003
30.9,6.1,41.5,10.600000000000001
31.9,6.9,38.5,6.600000000000001
31.9,6.9,38.5,6.600000000000001
32.8,9.3,38.5,5.700000000000003
32.7,5.5,38.2,5.5
28.6,5.4,38.3,9.699999999999996
30.6,9.0,39.0,8.399999999999999
30.6,9.0,39.0,8.399999999999999
28.7,5.4,38.9,10.2
33.0,8.8,38.3,5.299999999999997
33.2,9.1,38.7,5.5
25.4,5.4,38.1,12.700000000000003
32.2,6.1,38.1,5.899999999999999
32.2,6.1,38.1,5.899999999999999
31.2,8.8,39.0,7.800000000000001
31.5,6.0,38.2,6.700000000000003
28.2,5.4,38.5,10.3
31.6,6.8,38.1,6.5
32.7,9.3,38.1,5.399999999999999
33.2,8.8,38.0,4.799999999999997
31.0,5.5,38.4,7.399999999999999
32.6,6.1,39.4,6.799999999999997
31.7,6.9,39.2,7.5000000000000036
33.7,8.8,38.6,4.899999999999999
32.1,9.0,39.1,7.0
33.3,5.5,39.3,6.0
30.8,18.3,37.9,7.099999999999998
31.9,20.8,38.1,6.200000000000003
33.6,8.0,38.4,4.799999999999997
32.0,6.0,38.6,6.600000000000001
36.2,6.8,39.3,3.0999999999999943
36.2,8.8,39.0,2.799999999999997
32.9,6.9,38.0,5.100000000000001
32.2,5.5,38.9,6.699999999999996
33.1,6.1,39.2,6.100000000000001
32.0,9.1,38.4,6.399999999999999
30.6,5.4,38.1,7.5
31.9,6.9,38.5,6.600000000000001
31.1,8.0,38.6,7.5
31.8,6.1,39.2,7.400000000000002
33.0,8.8,38.3,5.299999999999997
25.4,5.4,38.1,12.700000000000003
25.3,5.0,38.3,12.999999999999996
32.1,5.5,38.5,6.399999999999999
32.0,6.9,38.2,6.200000000000003
31.5,5.4,38.8,7.299999999999997
30.4,5.0,38.3,7.899999999999999
33.2,6.8,39.0,5.799999999999997
33.0,8.0,38.9,5.899999999999999
36.1,33.9,39.2,3.1000000000000014
38.2,37.7,39.0,0.7999999999999972
35.7,31.9,39.4,3.6999999999999957
36.2,33.7,38.8,2.5999999999999943
38.2,37.8,39.5,1.2999999999999972
34.5,32.1,39.5,5.0
36.4,32.3,40.5,4.100000000000001
36.7,33.0,38.7,2.0
34.1,30.2,40.3,6.199999999999996
37.0,35.0,39.1,2.1000000000000014
35.8,32.5,38.6,2.8000000000000043
35.3,32.1,38.4,3.1000000000000014
34.0,29.9,39.4,5.399999999999999
34.7,32.2,39.7,5.0
36.5,34.8,38.2,1.7000000000000028
35.0,31.4,38.8,3.799999999999997
36.5,32.1,38.4,1.8999999999999986
39.2,37.2,39.9,0.6999999999999957
35.2,30.1,39.4,4.199999999999996
34.9,27.6,38.3,3.3999999999999986
33.8,27.6,39.1,5.300000000000004
33.0,25.7,39.1,6.100000000000001
36.9,34.5,38.6,1.7000000000000028
36.0,33.0,38.3,2.299999999999997
35.9,32.3,41.2,5.300000000000004
28.6,10.9,38.0,9.399999999999999
31.4,5.4,39.0,7.600000000000001
33.3,6.1,38.8,5.5
31.8,6.9,38.7,6.900000000000002
33.6,8.0,38.4,4.799999999999997
34.2,6.9,38.5,4.299999999999997
33.9,9.3,38.8,4.899999999999999
33.7,9.0,40.0,6.299999999999997
33.2,5.4,39.6,6.399999999999999
33.5,5.5,39.2,5.700000000000003
35.7,6.1,38.1,2.3999999999999986
32.9,6.9,38.0,5.100000000000001
33.1,6.8,38.2,5.100000000000001
32.2,5.5,38.9,6.699999999999996
26.6,5.0,38.9,12.299999999999997
31.6,9.3,38.0,6.399999999999999
33.3,8.0,38.2,4.900000000000006
32.0,9.1,38.4,6.399999999999999
33.9,11.2,38.1,4.200000000000003
31.5,5.0,38.7,7.200000000000003
33.8,8.8,38.6,4.800000000000004
33.9,9.1,38.5,4.600000000000001
32.5,6.0,39.1,6.600000000000001
28.6,5.4,38.3,9.699999999999996
33.9,11.2,38.6,4.700000000000003
32.2,6.9,38.0,5.799999999999997
31.1,6.0,38.6,7.5
31.8,5.5,38.8,6.9999999999999964
25.3,5.0,38.3,12.999999999999996
32.5,8.0,38.7,6.200000000000003
32.9,9.0,38.3,5.399999999999999
