PermutationID,R2
396,-0.8164324872326989
397,-0.5271998079812144
398,-0.48572908171481965
399,-0.8026906110569707
400,-0.7722416247259369
401,-0.8240732861081892
402,-0.8615474981146525
403,-1.094497844629176
404,-0.8377568075216826
405,-0.34634761972748684
406,-1.0572740170307044
407,-0.6568110484533691
408,-0.9441213560925716
409,-1.1822370806839393
410,-0.45967607569362956
411,-0.15674501231506355
412,-0.7605726472131689
413,-0.881804379191002
414,-0.8005791820350614
415,-1.2642449775866833
416,-0.36915839186662125
417,-1.3005043558894642
418,-0.8031810468055485
419,-0.9808226016992962
420,-0.7524334802128689
421,-1.0073232238957872
422,-0.6862220108939787
423,-0.6141758637309747
424,-0.5774097188723013
425,-1.2325393378324079
426,-0.38328297652753696
427,-0.9075926082749413
428,-1.0461769122660098
429,-1.0537760024589575
430,-0.8490938120344365
431,-0.7736342988134293
432,-0.5316801352048393
433,-0.34490789257518295
434,-0.41143825935751344
435,-1.4482504148850017
436,-0.6988086791932009
437,-0.04319136404722834
438,-0.978081902676512
439,-1.247337223487568
440,-1.2377419917516144
441,-1.1717715061822025
442,-1.1417786288416432
443,-0.652573106084932
444,-0.6725081982826688
445,-0.9606628539451791
446,-1.303084807093772
447,-1.1910347745252574
448,-0.4451789957709893
449,-0.575165649677722
450,-1.3611876887417274
451,-1.5031239419551778
452,-0.7411411454865267
453,-0.8619933434290827
454,-0.6163761270873658
455,-0.9301248598555218
456,-0.540597030156271
457,-1.2279966869944143
458,-0.5847387117105718
459,-1.0252271008409446
460,-1.0010412369157682
461,-0.3499319721573668
462,-0.5459189987658202
463,-1.089594473908892
464,-0.5667603612286802
465,-0.6898304590777857
466,-0.6771034431513234
467,-0.9180130465805536
468,-1.2745751728143535
469,-0.7855561622238922
470,-0.9498186275575597
471,-1.1803649136007608
472,-0.7462775163879674
473,-0.8625273950075751
474,-1.0895346814608677
475,-1.2402030381238074
476,-0.9408865552155499
477,-1.0996394440139592
478,-0.38982316487950297
479,-0.7889454684340294
480,-0.838980575905304
481,-1.09261618943261
482,-0.381937381767927
483,-0.8699792267752935
484,-0.8060197400058591
485,-0.9992862281524568
486,-1.214756597748992
487,-0.6720426215726991
488,-0.7765788665921884
489,-1.1795466894931272
490,-0.6998182546057099
491,-1.0476936773444705
492,-1.1790394983926435
493,-1.256489359044421
494,-0.4339824017838123
495,-1.0179947464573882
496,-0.37692872185778103
497,-0.5853326165703094
498,-0.7048246690843738
499,-1.0799992616885863
500,-1.0157628089721338
501,-0.9213443231584517
502,-1.385707577365347
503,-0.5433478682207498
504,-1.1393270993802491
505,-0.7550776804422834
506,-1.4104844046678915
507,-0.7791340691633244
508,-0.41138253454087326
509,-0.5880465578713694
510,-0.46038699367332137
511,-0.4514126969883441
