TargetRowID,TechnicalBaselinePrediction_C,FullPipelinePrediction_C,ReconstructedPrediction_C,AdditivityDifference_C
127,38.6835674698231,38.5642084716793,38.5642084716793,0.0
128,38.682451203232,38.593668689511,38.593668689511,0.0
129,38.3008096911257,38.5958157707807,38.5958157707807,0.0
130,38.2891381155616,38.6029012440331,38.6029012440331,0.0
131,38.2849562682074,38.513561255767,38.513561255767,0.0
132,38.3014948719333,38.4874676519663,38.4874676519663,0.0
133,38.6828240825834,38.5271353605531,38.5271353605531,0.0
134,38.288943308209,38.5182479803135,38.5182479803135,0.0
135,38.2879268898376,39.0481416022452,39.0481416022452,0.0
136,38.2867053227653,39.0326291666274,39.0326291666274,0.0
137,38.2898880184659,39.0897402135085,39.0897402135085,0.0
138,38.2848421548564,39.063291930105,39.063291930105,0.0
139,38.6824880808919,38.2205254567339,38.2205254567339,0.0
140,38.3028620283481,38.2269712257874,38.2269712257874,0.0
141,38.2890202983314,38.2988582520027,38.2988582520027,0.0
142,38.6795965243305,38.2916763355595,38.2916763355595,0.0
143,38.2876711525503,38.5059534712358,38.5059534712358,0.0
144,38.3051861350491,38.484800777297,38.484800777297,0.0
145,38.6819761804317,38.3597787710613,38.3597787710613,0.0
146,38.2887010102145,38.3467039920145,38.3467039920145,0.0
147,38.6853187954823,38.4938779278731,38.4938779278731,0.0
148,38.6881880787685,38.4841239623595,38.4841239623595,0.0
149,38.6909150304031,39.0786120902819,39.0786120902819,0.0
150,38.3036041098114,39.0798777528214,39.0798777528214,0.0
151,38.2921298834026,38.2390023771637,38.2390023771637,0.0
152,38.2921866928919,38.2393691803913,38.2393691803913,0.0
153,38.3068923486509,38.5936858706183,38.5936858706183,0.0
154,38.6904450741497,38.5977192818213,38.5977192818213,0.0
155,38.6817977828422,38.8820670011397,38.8820670011397,0.0
156,38.3007188680351,38.8586643336288,38.8586643336288,0.0
157,38.2794879330761,39.1813172997747,39.1813172997747,0.0
158,38.6803127585806,39.1616640210185,39.1616640210185,0.0
159,38.3000229180646,38.018308189605,38.018308189605,0.0
160,38.2868353865154,38.012432566797,38.012432566797,0.0
161,38.6817465809579,38.3201038091682,38.3201038091682,0.0
162,38.6777881703308,38.3186168454658,38.3186168454658,0.0
163,38.6742342543022,38.29380856219,38.29380856219,0.0
164,38.2980868417332,38.2921470281507,38.2921470281507,0.0
165,38.6740858035099,38.6750283342154,38.6750283342154,0.0
166,38.2804031531286,38.6670829285227,38.6670829285227,0.0
167,38.3058871691808,39.2887153012169,39.2887153012169,0.0
168,38.6863494909625,39.2939506161882,39.2939506161882,0.0
169,38.2954313389478,38.6420307944795,38.6420307944795,0.0
170,38.2977749766389,38.6122035908405,38.6122035908405,0.0
171,38.2948235766576,38.7900707958258,38.7900707958258,0.0
172,38.2971370285693,38.7877861714081,38.7877861714081,0.0
173,38.6871751947703,38.0777279917387,38.0777279917387,0.0
174,38.3066845696133,38.0729625667855,38.0729625667855,0.0
175,38.2910195404497,38.2751880866293,38.2751880866293,0.0
176,38.2883286242968,38.2863474795099,38.2863474795099,0.0
177,38.6847493711905,38.1583962993537,38.1583962993537,0.0
178,38.6845491412407,38.1722339445077,38.1722339445077,0.0
179,38.3034846266637,38.1055113147048,38.1055113147048,0.0
180,38.2868034619379,38.1012643859234,38.1012643859234,0.0
181,38.6833717949025,38.2418774253245,38.2418774253245,0.0
182,38.6836098474694,38.2419132559334,38.2419132559334,0.0
183,38.6831398754498,38.5594212142036,38.5594212142036,0.0
184,38.6833779280167,38.5641898334698,38.5641898334698,0.0
185,38.2849612651921,38.6546749133468,38.6546749133468,0.0
186,38.2891711657904,38.6621403373889,38.6621403373889,0.0
187,38.6816515808623,38.9483741642997,38.9483741642997,0.0
188,38.3019540852738,38.9103970610654,38.9103970610654,0.0
189,38.2845808758163,39.3939463977879,39.3939463977879,0.0
190,38.3016192037017,39.3810558462274,39.3810558462274,0.0
191,38.2847373367587,38.0002043588299,38.0002043588299,0.0
192,38.6828407765358,38.0212841236392,38.0212841236392,0.0
193,38.2908498087373,38.2921262896845,38.2921262896845,0.0
194,38.287756201045,38.2944813320544,38.2944813320544,0.0
195,38.6827119893857,38.1970005227361,38.1970005227361,0.0
196,38.6832160283286,38.1882510026077,38.1882510026077,0.0
197,38.2894706020632,38.1851144053675,38.1851144053675,0.0
198,38.3028236711362,38.1607433633977,38.1607433633977,0.0
199,38.3016448824807,38.4482071579455,38.4482071579455,0.0
200,38.289010589933,38.4588187276195,38.4588187276195,0.0
201,38.2852321081232,38.4676833703518,38.4676833703518,0.0
202,38.6787569239691,38.4636971220024,38.4636971220024,0.0
203,38.6844489774825,38.4172383497881,38.4172383497881,0.0
204,38.2902518834822,38.4065744975937,38.4065744975937,0.0
205,38.2867938177029,38.0011687708878,38.0011687708878,0.0
206,38.289412197797,37.9981244693885,37.9981244693885,0.0
207,38.6815324533879,38.0554822995519,38.0554822995519,0.0
208,38.6822283355823,38.0779371815662,38.0779371815662,0.0
209,38.2891974206315,38.1551837076977,38.1551837076977,0.0
210,38.3023938644951,38.1481654004159,38.1481654004159,0.0
211,38.2849681039146,37.6772221694511,37.6772221694511,0.0
212,38.2843814422226,37.6799958065447,37.6799958065447,0.0
213,38.6808421848995,38.0335560925879,38.0335560925879,0.0
214,38.2885995706203,38.0553222793056,38.0553222793056,0.0
215,38.680420530455,37.9623061072867,37.9623061072867,0.0
