TargetRowID,CowID,Ear,Air,Time,EarAirGap,SHAP_Ear,SHAP_Air,SHAP_Time,SHAP_CowID
66,12,31.8,5.4,0,26.4,-0.2395233552575331,-0.1545087450162666,-0.0862931687873687,-0.1217976480854332
67,12,35.7,6.1,11,29.6,-0.1726333537362485,-0.0655853212326652,-0.2261011620818003,-0.1330191048507837
68,12,35.7,6.1,11,29.6,-0.1058656898159178,-0.0176272495515673,0.0260772388090136,-0.0999555980902329
69,12,32.9,6.9,12,26.0,-0.0304060868844059,-0.0407671747132241,-0.166642577943674,-0.0662391230227908
70,12,32.9,6.9,12,26.0,-0.3851676059173847,-0.1195707332993348,-0.1438597266458169,-0.0477972552529664
71,12,33.1,6.8,12,26.3,-0.005911860266958,4.1832450458891e-05,-0.0817439186451404,-0.0653579318619582
72,12,33.1,6.8,12,26.3,0.0086926776592826,0.0112110339921678,-0.0815223561609332,-0.0558591135503162
73,12,33.2,9.3,13,23.9,0.0007212477189823,-0.1601904015363183,-0.4161518061760987,-0.038186791488366
74,12,33.2,9.3,13,23.9,-0.3012392922077094,0.0158010012660572,0.1129474226066916,-0.0383046963223427
75,12,36.3,8.0,13,28.3,0.1711099329790322,0.0734921733449998,0.1540883609793499,-0.050279378195384
76,12,36.3,8.0,13,28.3,0.1695154691688163,0.0741497238290491,0.1540883609793812,-0.0468434128093525
77,12,33.6,8.8,14,24.8,0.1863629377203164,0.0006897352509529,-8.130525463556637e-06,-0.0291349562499991
78,12,33.6,8.8,14,24.8,0.0395959489536667,-0.0024922998485988,-0.1816961917212829,-0.0768667530192826
79,12,35.0,11.2,15,23.8,0.1173511620287825,0.0145469750835995,0.0748758311594824,-0.0432458946663665
80,12,35.0,11.2,15,23.8,0.0088191823933089,-0.1928385742763095,0.0002033873245395,-0.0376666577363427
81,12,33.2,9.0,19,24.2,0.00642698947551,-0.0201641036202087,-0.0878312573875591,-0.1031694948981414
82,12,33.2,9.0,19,24.2,-0.0659092235036429,0.0886253946891256,0.217962582458508,-0.0580930444357932
83,12,31.3,6.0,21,25.3,-0.0631095672063425,0.0355160462381416,0.1825852409990442,-0.0401856391403404
84,12,31.3,6.0,21,25.3,-0.2274345524273169,-0.0506454488025998,0.0287965878723479,-0.0449529676295323
85,12,32.1,5.4,22,26.7,-0.5022584086229914,0.0256921187608736,0.2331202602003075,-0.0432561779463907
86,12,32.1,5.4,22,26.7,-0.2385515750878338,0.0243880618957312,0.3652640284664343,-0.0447502088055339
87,12,32.2,5.5,23,26.7,0.4585621242737682,0.1060345522882008,0.0151000987281163,-0.0307504858256818
88,12,32.2,5.5,23,26.7,0.1312923576404584,0.0365459843549427,0.0587642859424395,-0.06213071910214
89,13,29.8,5.4,0,24.4,-0.4809954517292993,-0.1254984728146671,-0.0337981481536833,-0.0775316214898514
90,13,29.8,5.4,0,24.4,-0.1061421309805166,-0.058455158647669,-0.0565795488906661,-0.1106832166107511
91,13,26.6,5.0,11,21.6,0.1877301248124734,0.1042745673040735,0.3412645368249259,-0.0443917085646751
92,13,26.6,5.0,11,21.6,0.1814636755952422,0.1065199435149081,0.3570757648287752,-0.0537387621726252
93,13,33.1,6.1,11,27.0,0.1680640931180323,0.065816520705083,0.2788057166104659,-0.042758993008384
94,13,33.1,6.1,11,27.0,0.1667356752776593,0.1754316778248264,0.5479662037311925,-0.0656495670262735
95,13,31.3,6.9,12,24.4,0.1736525634677335,0.0118109217958834,-0.156152650432548,-0.0833469831994655
96,13,31.3,6.9,12,24.4,-0.1258252795045494,-0.0374517138151144,-0.1599683022120661,-0.093204975037868
97,13,31.9,6.8,12,25.1,-0.4341024068988416,-0.0866144808791578,-0.1255004331733425,-0.0562242755922586
98,13,31.9,6.8,12,25.1,-0.3678067427974672,-0.138539392686584,-0.0786609546086841,-0.1086576894698675
99,13,31.6,9.3,13,22.3,-0.2084160413599018,-0.1012654330745845,-0.2471608432600505,-0.1392473170141688
100,13,31.6,9.3,13,22.3,-0.2569448529825907,-0.0386204143677903,0.0641633824623255,-0.0888570343343412
101,13,33.3,8.0,13,25.3,-0.2029731644688593,-0.017124024216392,0.1770230508291076,-0.077774452796356
102,13,33.3,8.0,13,25.3,-0.1997964458976895,-0.0159817056050736,0.1654737679046102,-0.0628182393301415
103,13,31.8,8.8,14,23.0,-0.2107331451534755,-0.0029698627799934,1.4620363580538271e-06,-0.0844339533761893
104,13,31.8,8.8,14,23.0,-0.1524423207391076,-0.1643009522109248,-0.3201801297652089,-0.0659306728158585
105,13,32.0,9.1,15,22.9,0.0693226906429913,0.0333041063019597,0.0623321324489936,-0.0917278476290424
106,13,32.0,9.1,15,22.9,-0.0768692410840839,0.0303115134110001,0.1816143581070832,-0.0912466341786017
