SelectedSeed,RecordID,MedianSeedPredicted_C,PredictionRank,EnsembleWeight
20260701,MEAS_R000236,39.37484126197481,3,1.0
20260523,MEAS_R000237,39.48485521690173,3,1.0
20260903,MEAS_R000238,37.83745030490542,3,1.0
20260607,MEAS_R000239,37.78078920371752,3,1.0
20260701,MEAS_R000240,37.90569985649121,3,1.0
20260523,MEAS_R000241,37.75042707177471,3,1.0
20260903,MEAS_R000242,37.91028845096068,3,1.0
20260523,MEAS_R000243,37.78325315602556,3,1.0
20260701,MEAS_R000244,38.23272282175874,3,1.0
20260607,MEAS_R000245,38.014087159101855,3,1.0
20260811,MEAS_R000246,37.84047013943663,3,1.0
20260903,MEAS_R000247,38.206834035636994,3,1.0
20260701,MEAS_R000248,37.8194126404395,3,1.0
20260811,MEAS_R000249,38.02411032214519,3,1.0
20260903,MEAS_R000250,37.82035073485833,3,1.0
20260701,MEAS_R000251,37.87640422054452,3,1.0
20260607,MEAS_R000252,39.8827874853818,3,1.0
20260811,MEAS_R000253,39.07702507568536,3,1.0
20260607,MEAS_R000254,39.17821458821589,3,1.0
20260701,MEAS_R000255,39.0052552296256,3,1.0
20260607,MEAS_R000256,39.3855728400228,3,1.0
20260607,MEAS_R000257,39.42844721561707,3,1.0
20260607,MEAS_R000258,39.431335753986886,3,1.0
20260903,MEAS_R000259,39.31162818129387,3,1.0
20260701,MEAS_R000260,39.42393153467011,3,1.0
20260903,MEAS_R000261,39.93882297635368,3,1.0
20260811,MEAS_R000262,39.46294898798658,3,1.0
20260701,MEAS_R000263,39.33620008278477,3,1.0
20260607,MEAS_R000264,39.91114325727593,3,1.0
20260701,MEAS_R000265,39.31942641434682,3,1.0
20260701,MEAS_R000266,39.98219791727493,3,1.0
20260523,MEAS_R000267,39.37841186089983,3,1.0
20260903,MEAS_R000268,39.57481237123374,3,1.0
20260607,MEAS_R000269,38.89601231941569,3,1.0
20260607,MEAS_R000270,39.1080397923249,3,1.0
20260701,MEAS_R000271,38.77757508581498,3,1.0
20260523,MEAS_R000272,39.164570050764205,3,1.0
20260903,MEAS_R000273,39.16318445574588,3,1.0
20260523,MEAS_R000274,39.13450673011752,3,1.0
20260811,MEAS_R000275,40.15372436792104,3,1.0
20260607,MEAS_R000276,39.1707800372686,3,1.0
20260701,MEAS_R000277,39.53825879993371,3,1.0
20260607,MEAS_R000278,39.52562623997917,3,1.0
20260811,MEAS_R000279,40.162986900548496,3,1.0
20260607,MEAS_R000280,39.59309060691188,3,1.0
20260701,MEAS_R000281,40.23367464348929,3,1.0
20260701,MEAS_R000282,39.58690274017714,3,1.0
20260523,MEAS_R000283,40.2091687906316,3,1.0
20260903,MEAS_R000284,40.48128783151133,3,1.0
20260811,MEAS_R000285,39.50972900835793,3,1.0
20260607,MEAS_R000286,39.57654117970543,3,1.0
20260811,MEAS_R000287,39.485336129073794,3,1.0
20260523,MEAS_R000288,39.700456742873534,3,1.0
20260811,MEAS_R000289,40.449886779422,3,1.0
20260701,MEAS_R000290,39.77693310528528,3,1.0
20260811,MEAS_R000291,40.44871504336906,3,1.0
20260607,MEAS_R000292,40.46819248013172,3,1.0
20260811,MEAS_R000293,40.37560265442457,3,1.0
20260903,MEAS_R000294,39.0737394965044,3,1.0
20260811,MEAS_R000295,39.10315407930406,3,1.0
20260701,MEAS_R000296,39.1297004122511,3,1.0
20260523,MEAS_R000297,39.52675447475752,3,1.0
20260903,MEAS_R000298,39.49208803299474,3,1.0
20260607,MEAS_R000299,39.88617220794381,3,1.0
20260607,MEAS_R000300,39.534911749816125,3,1.0
20260701,MEAS_R000301,39.727904708353634,3,1.0
20260523,MEAS_R000302,39.63350844075694,3,1.0
20260903,MEAS_R000303,39.57082865962544,3,1.0
20260607,MEAS_R000304,40.297904328562055,3,1.0
20260701,MEAS_R000305,40.35066153763437,3,1.0
20260701,MEAS_R000306,39.58175458342037,3,1.0
20260811,MEAS_R000307,39.3809631853851,3,1.0
20260701,MEAS_R000308,38.6415889221405,3,1.0
20260811,MEAS_R000309,39.09487559039079,3,1.0
20260701,MEAS_R000310,38.804887294935085,3,1.0
20260523,MEAS_R000311,39.050469018903605,3,1.0
20260701,MEAS_R000312,38.70346414183898,3,1.0
20260701,MEAS_R000313,39.683401766793,3,1.0
20260523,MEAS_R000314,39.63077531139514,3,1.0
20260903,MEAS_R000315,38.696917121676336,3,1.0
20260701,MEAS_R000316,39.606023957077895,3,1.0
20260701,MEAS_R000317,38.98758517532643,3,1.0
20260811,MEAS_R000318,39.65282635145154,3,1.0
20260607,MEAS_R000319,39.55880877842709,3,1.0
20260701,MEAS_R000320,38.98376079685174,3,1.0
20260811,MEAS_R000321,38.31493767523629,3,1.0
20260811,MEAS_R000322,38.32775995468516,3,1.0
20260701,MEAS_R000323,38.261491038852384,3,1.0
20260607,MEAS_R000324,38.70970777957372,3,1.0
20260523,MEAS_R000325,38.71172825518932,3,1.0
20260523,MEAS_R000326,38.289383381944006,3,1.0
20260701,MEAS_R000327,38.25051382340458,3,1.0
20260701,MEAS_R000328,38.74841118093251,3,1.0
20260523,MEAS_R000329,39.50847054028439,3,1.0
20260607,MEAS_R000330,38.54440950862738,3,1.0
20260701,MEAS_R000331,39.5497413709284,3,1.0
20260811,MEAS_R000332,39.32429465574798,3,1.0
20260523,MEAS_R000333,39.18232253530702,3,1.0
20260701,MEAS_R000334,38.544104628932686,3,1.0
20260701,MEAS_R000335,38.615639140425415,3,1.0
20260607,MEAS_R000336,39.01313350693029,3,1.0
20260701,MEAS_R000337,38.84143205673651,3,1.0
20260607,MEAS_R000338,39.242293252683375,3,1.0
20260701,MEAS_R000339,39.167718274389614,3,1.0
20260903,MEAS_R000340,39.79153628268916,3,1.0
20260903,MEAS_R000341,39.19293445579401,3,1.0
20260903,MEAS_R000342,39.72169561181447,3,1.0
20260701,MEAS_R000343,38.888011128838045,3,1.0
20260607,MEAS_R000344,39.78381748556095,3,1.0
20260701,MEAS_R000345,38.93295205369956,3,1.0
20260523,MEAS_R000346,39.866586757985495,3,1.0
20260903,MEAS_R000347,39.575884568606526,3,1.0
20260701,MEAS_R000348,39.51079614736948,3,1.0
20260903,MEAS_R000349,39.53245343465923,3,1.0
20260607,MEAS_R000350,39.50395013901141,3,1.0
20260811,MEAS_R000351,40.34494134678594,3,1.0
20260607,MEAS_R000352,39.420077927938,3,1.0
20260811,MEAS_R000353,39.58934523369181,3,1.0
20260523,MEAS_R000354,40.31415670152776,3,1.0
20260523,MEAS_R000355,39.7221247513858,3,1.0
20260903,MEAS_R000356,39.27460221334706,3,1.0
20260701,MEAS_R000357,39.07034054879736,3,1.0
20260701,MEAS_R000358,38.66765348477578,3,1.0
20260701,MEAS_R000359,38.73218700827266,3,1.0
20260701,MEAS_R000360,38.66085476944615,3,1.0
20260523,MEAS_R000361,39.01708990789916,3,1.0
20260523,MEAS_R000362,39.100021529772256,3,1.0
20260607,MEAS_R000363,38.73273008719494,3,1.0
20260523,MEAS_R000364,39.13374073271113,3,1.0
20260701,MEAS_R000365,39.15397154989684,3,1.0
20260701,MEAS_R000366,39.12809163340041,3,1.0
20260811,MEAS_R000367,38.42137957169963,3,1.0
20260811,MEAS_R000368,38.41123175904396,3,1.0
20260811,MEAS_R000369,38.35885553061499,3,1.0
20260811,MEAS_R000370,38.15149730663107,3,1.0
20260811,MEAS_R000371,38.4744756654698,3,1.0
20260523,MEAS_R000372,38.497932277388266,3,1.0
20260523,MEAS_R000373,38.16455008100219,3,1.0
20260607,MEAS_R000374,39.01381711985557,3,1.0
20260523,MEAS_R000375,38.61916225371512,3,1.0
20260607,MEAS_R000376,38.93769491931676,3,1.0
20260607,MEAS_R000377,40.49747280628085,3,1.0
20260523,MEAS_R000378,38.43736739670026,3,1.0
20260607,MEAS_R000379,38.88536934984072,3,1.0
20260607,MEAS_R000380,40.12433641799729,3,1.0
