Seed,RecordID,RowID,CowKey,Ear_C,Air_C,Time_hour,EarAirGap_C,SHAP_Ear_temperature_C,SHAP_Ambient_temperature_C,SHAP_Time_diurnal_C,SHAP_Cow_identity_C,TechnicalBaselinePrediction_C,ConditionalFullPipelinePrediction_C,ReconstructedPrediction_C,AdditivityDifference_C,OfficialOOFPrediction_C,ConditionalVsOfficialDifference_C,RawTechnicalBaselinePrediction_C,RawFullPipelinePrediction_C,ReplayAnchorCorrection_C
20260903,MEAS_R000056,56,C001,33.9,11.2,15,22.7,9.44061399176614e-05,8.94778409659125e-05,-9.58857942994958e-05,-0.341535121045984,38.5196987687934,38.17825164593397,38.17825164593399,2.1316282072803006e-14,38.17825164593397,0.0,38.5198500033468,38.1784028804874,-0.000151234553428
20260523,MEAS_R000057,57,C001,30.5,9.0,19,21.5,0.010183791734225,0.0131109017177907,0.208554274164856,-0.313118875134075,38.4513389814063,38.370069073889056,38.3700690738891,4.263256414560601e-14,38.370069073889056,0.0,38.4528127093658,38.3715428018486,-0.0014737279595422
20260903,MEAS_R000058,58,C001,29.6,6.0,21,23.6,0.0141515772024003,0.0064696413161833,0.167200525849598,-0.380706799196683,38.4537358899303,38.26085083510176,38.2608508351018,3.552713678800501e-14,38.26085083510176,0.0,38.4524287006434,38.2595436458149,0.0013071892868552
20260523,MEAS_R000059,59,C001,30.6,5.4,22,25.2,-0.0026940417086655,0.0053954156513326,0.157346294026134,-0.0168828000941984,38.1092507898175,38.25241565769213,38.252415657692104,-2.842170943040401e-14,38.25241565769213,0.0,38.1124147364728,38.2555796043474,-0.0031639466552704
20260523,MEAS_R000060,60,C001,30.5,5.5,23,25.0,-0.0209291713289594,0.0023594181890569,0.198871886121324,-0.0658864961211278,38.0811027659543,38.19551840281464,38.19551840281459,-4.973799150320701e-14,38.19551840281464,0.0,38.0866190482467,38.201034685107,-0.005516282292362
20260523,MEAS_R000061,61,C027,29.5,5.4,0,24.1,-0.0016387355984998,0.0040487959562156,0.232364942033352,0.590493445916934,38.1105420306569,38.93581047896491,38.9358104789649,-7.105427357601002e-15,38.93581047896491,0.0,38.107500563312,38.93276901162,0.0030414673449072
20260523,MEAS_R000062,62,C027,30.9,6.1,11,24.8,0.0110657370028004,0.019817370482467,0.156921682290118,0.559137247682215,38.1286039696845,38.87554600714214,38.8755460071421,-4.263256414560601e-14,38.87554600714214,0.0,38.1282212170405,38.8751632544981,0.0003827526440431
20260607,MEAS_R000063,63,C027,31.5,5.0,11,26.5,0.007753271798767,-0.0040740226572152,0.746054541580001,1.04635661589815,38.1233401078801,39.919430514499815,39.9194305144998,-1.4210854715202004e-14,39.919430514499815,0.0,38.0435287100974,39.8396191167171,0.0798113977827128
20260811,MEAS_R000064,64,C027,31.9,6.9,12,25.0,0.0010329411224188,0.0056421084115676,-0.0006162022553155,0.185877463081733,38.4744445698183,38.66638088017872,38.6663808801787,-2.1316282072803006e-14,38.66638088017872,0.0,38.4802545461029,38.6721908564633,-0.0058099762845884
20260811,MEAS_R000065,65,C027,31.1,8.0,13,23.1,0.0381792216535904,0.0229196150659755,-0.0138471684688426,0.575879681786276,38.0766496464094,38.69978099644637,38.6997809964464,2.842170943040401e-14,38.69978099644637,0.0,38.1462435804781,38.7693749305151,-0.0695939340687346
20260523,MEAS_R000066,66,C027,32.8,9.3,13,23.5,0.0015482655255342,0.0100309721146334,0.008025102332752,0.191069872949884,38.4608238819035,38.67149809482635,38.671498094826305,-4.263256414560601e-14,38.67149809482635,0.0,38.4624487572546,38.6731229701774,-0.0016248753510552
20260607,MEAS_R000067,67,C027,33.8,8.8,14,25.0,0.0010095804132331,0.0140481816112844,-0.0097551443279672,0.572805786556849,38.1151309097099,38.69323931396333,38.693239313963296,-3.552713678800501e-14,38.69323931396333,0.0,38.1075407658023,38.6856491700557,0.0075901439076346
20260701,MEAS_R000068,68,C027,30.7,11.2,15,19.5,0.0603851662338091,0.0087933433117566,0.0102399718957411,0.257993544124092,38.4699255392058,38.80733756477122,38.8073375647712,-1.4210854715202004e-14,38.80733756477122,0.0,38.4894785111806,38.826890536746,-0.0195529719747825
20260811,MEAS_R000069,69,C027,33.9,9.1,15,24.8,0.0050770051904744,0.0283015056791586,-0.004326413436176,0.425356339205543,38.2833321813053,38.73774061794429,38.7377406179443,7.105427357601002e-15,38.73774061794429,0.0,38.271469285054,38.725877721693,0.0118628962512872
20260701,MEAS_R000070,70,C027,32.3,9.0,19,23.3,0.0419566521846679,0.009620287263468,0.215869760918851,0.643975127976818,38.0395284360951,38.95095026443894,38.950950264438895,-4.263256414560601e-14,38.95095026443894,0.0,38.0907019694685,39.0021237978123,-0.0511735333733654
