"FoldID","RowID","Source","AbsResidual"
1,189,"S03",0.105454787629995
1,191,"S03",0.0023001680252434
1,194,"S03",0.0093369491058226
1,201,"S03",0.0362510143658454
1,205,"S03",0.0001948215507781
1,211,"S03",0.167775464023613
1,212,"S03",0.166079656828806
1,218,"S03",0.0136283562883576
1,219,"S03",0.207054510323303
1,228,"S03",0.0249241652621279
1,229,"S03",0.174238385807555
1,237,"S03",0.19151506959146
1,245,"S03",0.0163337732849768
1,250,"S03",0.0145981188534349
1,252,"S03",0.0061652678563888
1,272,"S03",0.242845123676567
1,276,"S03",0.190709598734998
1,282,"S04",0.0104736049661369
1,284,"S04",0.0983935400540119
1,288,"S04",0.0674988817886514
1,303,"S04",0.0156429942697897
1,304,"S04",0.0012996765197783
1,305,"S04",0.0019585650384854
1,307,"S04",0.0211683289024264
1,311,"S04",0.229363814585284
1,314,"S04",0.0007947604496436
1,318,"S04",0.0197895122140536
1,322,"S04",0.015822417387767
1,324,"S04",0.0192361875498576
1,338,"S04",0.0034075096510761
1,340,"S04",0.0239483192716249
1,342,"S04",0.0054017814709226
1,356,"S04",0.041455573060162
1,357,"S04",0.156246136593687
1,366,"S04",0.0531962805464019
1,368,"S04",0.101965075147447
1,370,"S04",0.0039467492035285
1,374,"S04",0.0190985330358515
1,375,"S04",0.0966621595170806
1,382,"S04",0.0247764065706306
1,390,"S04",0.0142154882207776
1,392,"S04",0.258104320777733
1,395,"S04",0.018095006394212
2,1002,"S01",0.169287123067413
2,1007,"S01",0.290431538472333
2,1008,"S01",0.151655607788974
2,1017,"S01",0.104168974909392
2,1018,"S01",0.0797955302552608
2,1028,"S01",0.0095076286802893
2,1032,"S01",0.115569472216379
2,1036,"S01",0.409896960723607
2,1045,"S01",0.0138234522373039
2,1046,"S01",0.280939893905071
2,1047,"S01",0.537091226582724
2,1051,"S01",0.298013098871863
2,1052,"S01",0.851887796742687
2,1064,"S01",0.495846778747015
2,1066,"S01",0.100985106595822
2,1070,"S01",0.409169916967834
2,1076,"S01",0.597516391302406
2,1080,"S01",0.472303672020843
2,1083,"S01",0.934132229878422
2,1090,"S01",0.850364985675469
2,1097,"S01",0.360165283605163
2,1101,"S01",1.34087030278673
2,1106,"S01",0.191576878370512
2,1107,"S01",0.0753000295339347
2,1119,"S01",0.14572790759096
2,1120,"S01",0.403863115636341
2,1127,"S01",0.288042836811833
2,1129,"S01",0.378062958814205
2,5,"S03",0.223996299160142
2,7,"S03",0.0932359931276352
2,23,"S03",0.0293864910362842
2,25,"S03",0.0197291205253122
2,30,"S03",0.014345122204574
2,32,"S03",0.010645873441895
2,37,"S03",0.0354937822693059
2,42,"S03",0.0070685153946215
2,52,"S03",0.0080750798973951
2,53,"S03",0.0066179718311261
2,55,"S03",0.0165425952027362
2,61,"S03",0.0133199422858751
2,71,"S03",0.0474547862567646
2,74,"S03",0.0149159889438053
2,77,"S03",0.0538427303679469
2,82,"S03",0.0124131435100593
2,83,"S03",0.0090738907887768
2,90,"S03",0.0307546022906208
2,94,"S03",0.0893310154026494
2,95,"S03",0.0442334521647396
2,106,"S03",0.0511783960377556
2,110,"S03",0.0287907940850686
2,114,"S03",0.134891201171286
2,120,"S03",0.212243333942162
2,122,"S03",0.0218548568213066
2,129,"S03",0.0056136273939131
2,132,"S03",0.0195135726329382
2,140,"S03",0.0395189764460326
2,144,"S03",0.0095972718588512
2,150,"S03",0.0229463571847716
2,153,"S03",0.0025312505621002
2,156,"S03",0.0439080376782996
2,159,"S03",0.0186604871702016
2,164,"S03",0.0060185547483229
2,167,"S03",0.183997234296157
2,174,"S03",0.0294385710211813
2,179,"S03",0.0043787223068463
2,188,"S03",0.096744510425843
2,190,"S03",0.122455235006853
