RecordID,Ear,Air,Actual,Predicted
MEAS_R000265,36.2,32.9,39.5,39.31942641434682
MEAS_R000266,34.8,31.4,39.8,39.98219791727493
MEAS_R000267,35.7,31.9,39.4,39.37841186089983
MEAS_R000268,32.0,27.4,39.6,39.57481237123374
MEAS_R000269,35.9,33.4,38.6,38.89601231941569
MEAS_R000270,35.8,34.1,39.2,39.1080397923249
MEAS_R000271,36.2,33.7,38.8,38.77757508581498
MEAS_R000272,37.7,36.9,39.1,39.164570050764205
MEAS_R000273,36.6,35.0,39.1,39.16318445574588
MEAS_R000274,37.0,35.5,39.5,39.13450673011752
MEAS_R000275,37.1,35.5,40.2,40.15372436792104
MEAS_R000276,38.2,37.8,39.5,39.1707800372686
MEAS_R000277,35.0,33.2,39.6,39.53825879993371
MEAS_R000278,36.6,34.3,38.6,39.52562623997917
MEAS_R000279,37.3,35.6,40.4,40.162986900548496
MEAS_R000280,34.5,32.1,39.5,39.59309060691188
MEAS_R000281,37.0,35.2,40.2,40.23367464348929
MEAS_R000282,33.9,30.9,39.5,39.58690274017714
MEAS_R000283,36.2,33.9,40.2,40.2091687906316
MEAS_R000284,32.1,23.6,40.4,40.48128783151133
MEAS_R000285,36.1,32.5,39.3,39.50972900835793
MEAS_R000286,37.2,35.4,39.4,39.57654117970543
MEAS_R000287,39.3,38.8,39.5,39.485336129073794
MEAS_R000288,36.1,32.8,39.5,39.700456742873534
MEAS_R000289,36.4,32.3,40.5,40.449886779422
MEAS_R000290,36.7,33.0,38.7,39.77693310528528
MEAS_R000291,33.4,26.5,40.8,40.44871504336906
MEAS_R000292,34.6,29.6,40.6,40.46819248013172
MEAS_R000293,34.1,30.2,40.3,40.37560265442457
MEAS_R000294,37.0,35.0,39.1,39.0737394965044
MEAS_R000295,36.6,35.0,39.0,39.10315407930406
MEAS_R000296,37.9,36.9,39.0,39.1297004122511
MEAS_R000297,38.4,37.9,39.7,39.52675447475752
MEAS_R000298,38.9,38.8,39.5,39.49208803299474
MEAS_R000299,37.4,36.0,39.5,39.88617220794381
MEAS_R000300,37.7,36.2,39.5,39.534911749816125
MEAS_R000301,37.5,35.7,39.8,39.727904708353634
MEAS_R000302,36.8,35.0,40.0,39.63350844075694
MEAS_R000303,38.2,36.8,39.4,39.57082865962544
MEAS_R000304,36.2,34.3,40.6,40.297904328562055
MEAS_R000305,35.0,32.7,40.5,40.35066153763437
MEAS_R000306,30.1,23.5,39.8,39.58175458342037
MEAS_R000307,35.1,31.4,38.5,39.3809631853851
MEAS_R000308,35.8,32.5,38.6,38.6415889221405
MEAS_R000309,35.3,31.8,39.3,39.09487559039079
MEAS_R000310,37.4,36.1,38.5,38.804887294935085
MEAS_R000311,38.1,36.5,39.7,39.050469018903605
MEAS_R000312,35.3,32.1,38.4,38.70346414183898
MEAS_R000313,36.4,33.4,38.9,39.683401766793
MEAS_R000314,34.4,30.8,39.4,39.63077531139514
MEAS_R000315,35.3,31.5,38.5,38.696917121676336
MEAS_R000316,34.0,29.9,39.4,39.606023957077895
MEAS_R000317,35.1,30.6,39.9,38.98758517532643
MEAS_R000318,33.3,28.0,39.6,39.65282635145154
MEAS_R000319,32.8,27.7,40.0,39.55880877842709
MEAS_R000320,31.7,26.6,38.9,38.98376079685174
MEAS_R000321,34.7,32.0,38.2,38.31493767523629
MEAS_R000322,34.7,32.2,39.7,38.32775995468516
MEAS_R000323,34.6,32.1,38.2,38.261491038852384
MEAS_R000324,34.9,32.4,38.5,38.70970777957372
MEAS_R000325,36.6,35.5,38.3,38.71172825518932
MEAS_R000326,36.9,35.6,38.2,38.289383381944006
MEAS_R000327,36.5,34.8,38.2,38.25051382340458
MEAS_R000328,36.9,35.3,38.0,38.74841118093251
MEAS_R000329,35.8,33.3,39.2,39.50847054028439
MEAS_R000330,35.5,33.2,38.5,38.54440950862738
MEAS_R000331,35.5,33.1,39.0,39.5497413709284
MEAS_R000332,35.6,33.0,39.7,39.32429465574798
MEAS_R000333,34.6,30.4,40.0,39.18232253530702
MEAS_R000334,35.1,32.4,38.5,38.544104628932686
MEAS_R000335,34.2,30.8,38.4,38.615639140425415
MEAS_R000336,35.0,31.4,38.8,39.01313350693029
MEAS_R000337,33.8,29.5,39.1,38.84143205673651
MEAS_R000338,35.7,29.0,40.1,39.242293252683375
MEAS_R000339,36.5,32.1,38.4,39.167718274389614
MEAS_R000340,37.4,32.8,39.8,39.79153628268916
MEAS_R000341,36.5,31.7,38.5,39.19293445579401
MEAS_R000342,37.4,33.3,40.0,39.72169561181447
MEAS_R000343,37.1,33.5,39.3,38.888011128838045
MEAS_R000344,39.2,37.2,39.9,39.78381748556095
MEAS_R000345,38.3,35.7,39.7,38.93295205369956
MEAS_R000346,38.9,35.9,39.7,39.866586757985495
MEAS_R000347,37.6,33.4,39.5,39.575884568606526
