Ear_surface_temperature_C,Local_ambient_temperature_C,Measured_core_temperature_C,Predicted_core_temperature_C,Raw_temperature_gap_C,Residual_measured_minus_predicted_C,Raw_absolute_error_C,Compensated_absolute_error_C,Bland_Altman_mean_C
33.2,5.4,39.6,39.61331994228588,6.399999999999999,-0.013319942285875186,6.399999999999999,0.013319942285875186,39.60665997114294
33.1,6.8,38.2,38.15254521374324,5.100000000000001,0.04745478625676469,5.100000000000001,0.04745478625676469,38.17627260687162
33.2,9.3,38.1,38.0850840110562,4.899999999999999,0.014915988943798197,4.899999999999999,0.014915988943798197,38.0925420055281
33.6,8.8,38.5,38.44615726963205,4.899999999999999,0.053842730367946956,4.899999999999999,0.053842730367946956,38.47307863481603
33.2,9.0,38.5,38.48758685648994,5.299999999999997,0.012413143510059399,5.299999999999997,0.012413143510059399,38.49379342824497
31.3,6.0,38.4,38.409073890788775,7.099999999999998,-0.00907389078877685,7.099999999999998,0.00907389078877685,38.40453694539438
29.8,5.4,38.0,37.96924539770938,8.2,0.03075460229062088,8.2,0.03075460229062088,37.98462269885469
33.1,6.1,39.2,39.11066898459735,6.100000000000001,0.08933101540264943,6.100000000000001,0.08933101540264943,39.15533449229868
31.3,6.9,38.3,38.25576654783526,6.9999999999999964,0.04423345216473962,6.9999999999999964,0.04423345216473962,38.277883273917624
32.0,9.1,38.4,38.34882160396224,6.399999999999999,0.05117839603775565,6.399999999999999,0.05117839603775565,38.37441080198112
30.5,9.0,38.2,38.17120920591493,7.700000000000003,0.028790794085075788,7.700000000000003,0.028790794085075788,38.18560460295747
30.6,5.4,38.1,38.23489120117129,7.5,-0.1348912011712855,7.5,0.1348912011712855,38.167445600585644
30.9,6.1,41.5,41.28775666605784,10.600000000000001,0.21224333394216188,10.600000000000001,0.21224333394216188,41.39387833302892
31.5,5.0,38.7,38.72185485682131,7.200000000000003,-0.021854856821306612,7.200000000000003,0.021854856821306612,38.710927428410656
33.8,8.8,38.6,38.60561362739392,4.800000000000004,-0.00561362739392024,4.800000000000004,0.00561362739392024,38.60280681369696
30.7,11.2,38.5,38.48048642736706,7.800000000000001,0.019513572632938292,7.800000000000001,0.019513572632938292,38.49024321368353
32.7,5.5,38.2,38.23951897644604,5.5,-0.039518976446039744,5.5,0.039518976446039744,38.21975948822302
33.9,8.0,38.5,38.49040272814115,4.600000000000001,0.009597271858851286,4.600000000000001,0.009597271858851286,38.495201364070574
30.7,6.0,39.1,39.07705364281523,8.400000000000002,0.02294635718477167,8.400000000000002,0.02294635718477167,39.08852682140761
30.7,5.5,38.6,38.6025312505621,7.900000000000002,-0.00253125056210024,7.900000000000002,0.00253125056210024,38.60126562528105
28.7,5.4,38.9,38.8560919623217,10.2,0.04390803767829965,10.2,0.04390803767829965,38.87804598116085
32.2,6.9,38.0,38.0186604871702,5.799999999999997,-0.018660487170201634,5.799999999999997,0.018660487170201634,38.0093302435851
33.0,8.8,38.3,38.29398144525168,5.299999999999997,0.0060185547483158075,5.299999999999997,0.0060185547483158075,38.296990722625836
32.1,9.0,39.4,39.21600276570384,7.299999999999997,0.18399723429615733,7.299999999999997,0.18399723429615733,39.30800138285192
25.4,5.4,38.1,38.07056142897882,12.700000000000003,0.029438571021181303,12.700000000000003,0.029438571021181303,38.085280714489414
29.7,6.9,38.1,38.10437872230685,8.400000000000002,-0.004378722306846328,8.400000000000002,0.004378722306846328,38.10218936115342
31.2,8.8,39.0,38.90325548957416,7.800000000000001,0.09674451042584309,7.800000000000001,0.09674451042584309,38.951627744787075
32.3,9.1,39.5,39.37754476499315,7.200000000000003,0.12245523500685351,7.200000000000003,0.12245523500685351,39.43877238249657
31.1,5.4,38.2,38.16507043034051,7.100000000000001,0.034929569659489346,7.100000000000001,0.034929569659489346,38.18253521517026
32.1,5.5,38.5,38.44659986957341,6.399999999999999,0.05340013042658853,6.399999999999999,0.05340013042658853,38.47329993478671
32.0,6.9,38.2,38.147379986891664,6.200000000000003,0.052620013108338526,6.200000000000003,0.052620013108338526,38.173689993445834
33.2,8.8,38.0,37.98372581611971,4.799999999999997,0.01627418388029156,4.799999999999997,0.01627418388029156,37.99186290805986
33.5,11.2,38.0,37.9607776681141,4.5,0.039222331885902406,4.5,0.039222331885902406,37.98038883405705
32.1,9.0,39.0,39.13908089910535,6.899999999999999,-0.13908089910535182,6.899999999999999,0.13908089910535182,39.069540449552676
31.5,5.4,38.8,38.76672447242181,7.299999999999997,0.03327552757819063,7.299999999999997,0.03327552757819063,38.783362236210905
30.7,5.4,38.3,38.30857953147926,7.599999999999998,-0.00857953147926338,7.599999999999998,0.00857953147926338,38.304289765739625
33.2,6.8,39.0,38.99995060019666,5.799999999999997,4.939980333773519e-05,5.799999999999997,4.939980333773519e-05,38.99997530009833
33.2,6.8,39.0,38.99427610570406,5.799999999999997,0.005723894295940113,5.799999999999997,0.005723894295940113,38.99713805285203
32.4,11.2,39.1,39.090775141926144,6.700000000000003,0.009224858073856979,6.700000000000003,0.009224858073856979,39.09538757096307
35.3,9.1,39.0,38.99562288858127,3.700000000000003,0.0043771114187265425,3.700000000000003,0.0043771114187265425,38.99781144429063
32.1,9.0,39.1,39.26156817857494,7.0,-0.16156817857493877,7.0,0.16156817857493877,39.18078408928747
30.2,13.4,38.4,38.71041188696139,8.2,-0.3104118869613899,8.2,0.3104118869613899,38.55520594348069
30.6,10.9,38.2,38.67986154183901,7.600000000000001,-0.4798615418390071,7.600000000000001,0.4798615418390071,38.4399307709195
31.8,6.9,38.7,38.68651272687994,6.900000000000002,0.013487273120063037,6.900000000000002,0.013487273120063037,38.69325636343997
36.4,9.1,38.5,38.47986164531381,2.1000000000000014,0.020138354686189075,2.1000000000000014,0.020138354686189075,38.4899308226569
33.7,5.5,38.0,37.96729351055877,4.299999999999997,0.03270648944123167,4.299999999999997,0.03270648944123167,37.98364675527938
32.8,8.0,39.2,39.209834082966495,6.400000000000006,-0.00983408296649202,6.400000000000006,0.00983408296649202,39.20491704148325
36.0,9.1,38.9,38.889916153117774,2.8999999999999986,0.010083846882224634,2.8999999999999986,0.010083846882224634,38.894958076558886
33.7,9.0,40.0,40.04714825270504,6.299999999999997,-0.04714825270504264,6.299999999999997,0.04714825270504264,40.02357412635252
31.8,5.4,38.1,38.05852709957604,6.300000000000001,0.04147290042396179,6.300000000000001,0.04147290042396179,38.079263549788024
33.2,9.3,38.1,38.06980713750978,4.899999999999999,0.03019286249022457,4.899999999999999,0.03019286249022457,38.08490356875489
31.3,6.0,38.4,38.3773480183628,7.099999999999998,0.022651981637196172,7.099999999999998,0.022651981637196172,38.3886740091814
26.6,5.0,38.9,38.89584126931458,12.299999999999997,0.004158730685418277,12.299999999999997,0.004158730685418277,38.89792063465729
