RecordID,RowID,FoldID,Actual,Predicted,SHAP_base_value_C,SHAP_sum_C,SHAP_reconstructed_unclipped_C,SHAP_SourceMemoryPredicted_C,SHAP_BatchSessionPredicted_C,SHAP_HierarchicalResidualPredicted_C
TEMP_R000321,321,5,38.3,38.27257433886266,38.79452380910577,-0.5219494702431149,38.272574338862654,-0.09536205120516124,-0.11965239901142206,-0.3069350200265316
TEMP_R000322,322,1,38.0,37.98417758261223,38.780562658734105,-0.7963850761218725,37.98417758261223,-0.14634760067949948,-0.19776844784672193,-0.452269027595651
TEMP_R000323,323,3,38.0,38.05213642433911,38.793984962448135,-0.7418485381090183,38.05213642433912,-0.22611465360163713,-0.22601813706531435,-0.2897157474420668
TEMP_R000324,324,1,38.2,38.18076381245015,38.780562658734105,-0.5997988462839573,38.180763812450145,-0.11067076044994474,-0.15463144020272146,-0.3344966456312911
TEMP_R000325,325,3,38.0,38.06549884231245,38.793984962448135,-0.7284861201356878,38.06549884231245,-0.2135280696663522,-0.21589600946419105,-0.29906204100514455
TEMP_R000326,326,4,38.4,38.36782307507178,38.79926289983865,-0.43143982476687415,38.367823075071776,-0.09998785219913454,-0.10227745698400048,-0.22917451558373914
TEMP_R000327,327,3,38.1,38.274274451627925,38.793984962448135,-0.5197105108202088,38.274274451627925,-0.16654234048438402,-0.14686932251609833,-0.20629884781972646
TEMP_R000328,328,2,38.2,38.17232076446078,38.78227848047716,-0.6099577160163803,38.17232076446078,-0.13528502828636077,-0.1319186699857907,-0.34275401774422876
TEMP_R000329,329,2,38.3,38.26785564201067,38.78227848047716,-0.5144228384664924,38.267855642010666,-0.11167255152182426,-0.10893427072344194,-0.2938160162212262
TEMP_R000330,330,4,38.1,38.27462255378963,38.79926289983865,-0.5246403460490289,38.27462255378963,-0.17623636074669835,-0.1732633528088217,-0.17514063249350884
TEMP_R000331,331,5,38.1,38.06017279849919,38.79452380910577,-0.7343510106065885,38.06017279849918,-0.13514488610277772,-0.17341825499716348,-0.42578786950664727
TEMP_R000332,332,5,38.9,38.89461124790133,38.79452380910577,0.100087438795547,38.89461124790132,0.01938827753269043,0.03107563284904121,0.049623528413815364
TEMP_R000333,333,3,41.5,40.959036066840326,38.793984962448135,2.165051104392194,40.959036066840326,0.6660291429040176,0.6195614544330651,0.8794605070551113
TEMP_R000334,334,2,38.7,38.68488889921582,38.78227848047716,-0.0973895812613463,38.684888899215814,-0.01722264446367148,-0.016996673674040445,-0.06317026312363437
TEMP_R000335,335,4,38.5,38.32681701642201,38.79926289983865,-0.4724458834166448,38.326817016422005,-0.19819058161960765,-0.17876866377302353,-0.09548663802401365
TEMP_R000336,336,4,38.6,38.59115904768908,38.79926289983865,-0.2081038521495694,38.59115904768908,-0.04968507089530831,-0.040375647022853546,-0.11804313423140754
TEMP_R000337,337,2,38.5,38.58246683125015,38.78227848047716,-0.19981164922701228,38.582466831250144,-0.06444759799274787,-0.0629654721987412,-0.07239857903552323
TEMP_R000338,338,1,38.6,38.60340750965108,38.780562658734105,-0.17715514908302893,38.60340750965108,-0.03235995132874024,-0.032118110983697795,-0.11267708677059088
TEMP_R000339,339,3,38.5,38.50742583457446,38.793984962448135,-0.2865591278736723,38.50742583457446,-0.07582468902592188,-0.09393489520061446,-0.11679954364713599
TEMP_R000340,340,1,38.5,38.523948319271625,38.780562658734105,-0.2566143394624791,38.523948319271625,-0.04332649556162792,-0.05157653775146743,-0.16171130614938373
TEMP_R000341,341,2,39.1,39.10516981174921,38.78227848047716,0.3228913312720429,39.1051698117492,0.07722726259447962,0.07494092337535943,0.17072314530220384
TEMP_R000342,342,1,39.1,39.09459821852908,38.780562658734105,0.3140355597949742,39.09459821852908,0.06584409902268933,0.0856556960284201,0.1625357647438648
TEMP_R000343,343,5,38.2,38.1889187242713,38.79452380910577,-0.6056050848344703,38.188918724271296,-0.10629798778165993,-0.13294565228624947,-0.3663614447665609
TEMP_R000351,351,2,38.9,38.889916153117774,38.78227848047716,0.10763767264060436,38.88991615311777,0.030002309065403236,0.028972124850658674,0.048663238724542444
