RecordID,MeasurementUnitID,CowKey,EarTemperature_C,CoreReferenceTemperature_C,AmbientTemperature_C,MeasurementTime_hour,SequenceInCow,DataClass,Source,SourceWeight
MEAS_R000112,MEAS_UNIT_000112,C014,32.1,39.0,9.0,19.0,14,measured,S01,1.0
MEAS_R000113,MEAS_UNIT_000113,C014,31.2,39.2,6.0,21.0,15,measured,S01,1.0
MEAS_R000114,MEAS_UNIT_000114,C014,31.5,38.8,5.4,22.0,16,measured,S01,1.0
MEAS_R000115,MEAS_UNIT_000115,C014,31.0,38.4,5.5,23.0,17,measured,S01,1.0
MEAS_R000116,MEAS_UNIT_000116,C023,30.7,38.3,5.4,0.0,1,measured,S01,1.0
MEAS_R000117,MEAS_UNIT_000117,C023,30.4,38.3,5.0,11.0,2,measured,S01,1.0
MEAS_R000118,MEAS_UNIT_000118,C023,32.6,39.4,6.1,11.0,3,measured,S01,1.0
MEAS_R000119,MEAS_UNIT_000119,C023,31.7,39.2,6.9,12.0,4,measured,S01,1.0
MEAS_R000120,MEAS_UNIT_000120,C023,33.2,39.0,6.8,12.0,5,measured,S01,1.0
MEAS_R000121,MEAS_UNIT_000121,C023,32.8,38.8,9.3,13.0,6,measured,S01,1.0
MEAS_R000122,MEAS_UNIT_000122,C023,33.0,38.9,8.0,13.0,7,measured,S01,1.0
MEAS_R000123,MEAS_UNIT_000123,C023,33.7,38.6,8.8,14.0,9,measured,S01,1.0
MEAS_R000124,MEAS_UNIT_000124,C023,32.4,39.1,11.2,15.0,10,measured,S01,1.0
MEAS_R000125,MEAS_UNIT_000125,C023,35.3,39.0,9.1,15.0,11,measured,S01,1.0
MEAS_R000126,MEAS_UNIT_000126,C023,32.1,39.1,9.0,19.0,13,measured,S01,1.0
MEAS_R000127,MEAS_UNIT_000127,C023,33.5,39.9,6.0,21.0,15,measured,S01,1.0
MEAS_R000128,MEAS_UNIT_000128,C023,33.8,39.4,5.4,22.0,16,measured,S01,1.0
MEAS_R000129,MEAS_UNIT_000129,C023,33.3,39.3,5.5,23.0,17,measured,S01,1.0
MEAS_R000130,MEAS_UNIT_000130,C011,28.2,38.1,13.1,11.0,3,measured,S01,1.0
MEAS_R000131,MEAS_UNIT_000131,C011,30.2,38.0,16.0,12.0,5,measured,S01,1.0
MEAS_R000132,MEAS_UNIT_000132,C011,30.8,37.9,18.3,13.0,7,measured,S01,1.0
MEAS_R000133,MEAS_UNIT_000133,C011,31.9,38.1,20.8,14.0,8,measured,S01,1.0
MEAS_R000134,MEAS_UNIT_000134,C011,32.6,38.1,22.0,15.0,10,measured,S01,1.0
MEAS_R000135,MEAS_UNIT_000135,C011,30.2,38.4,13.4,21.0,12,measured,S01,1.0
MEAS_R000136,MEAS_UNIT_000136,C011,30.7,39.1,11.8,22.0,14,measured,S01,1.0
MEAS_R000137,MEAS_UNIT_000137,C011,30.6,38.2,10.9,23.0,15,measured,S01,1.0
MEAS_R000138,MEAS_UNIT_000138,C011,29.6,38.1,10.9,24.0,17,measured,S01,1.0
MEAS_R000139,MEAS_UNIT_000139,C004,28.8,37.8,7.9,1.0,1,measured,S01,1.0
MEAS_R000140,MEAS_UNIT_000140,C004,27.6,37.6,3.5,14.0,11,measured,S01,1.0
MEAS_R000141,MEAS_UNIT_000141,C004,32.4,37.5,4.6,12.0,6,measured,S01,1.0
MEAS_R000142,MEAS_UNIT_000142,C004,30.6,37.6,9.4,9.0,3,measured,S01,1.0
MEAS_R000143,MEAS_UNIT_000143,C004,32.3,37.6,5.3,11.0,5,measured,S01,1.0
MEAS_R000144,MEAS_UNIT_000144,C004,31.2,37.5,8.8,12.0,7,measured,S01,1.0
MEAS_R000145,MEAS_UNIT_000145,C004,32.9,37.6,5.5,10.0,4,measured,S01,1.0
MEAS_R000146,MEAS_UNIT_000146,C004,31.1,37.5,11.3,12.0,8,measured,S01,1.0
MEAS_R000147,MEAS_UNIT_000147,C004,31.0,37.5,8.6,13.0,9,measured,S01,1.0
MEAS_R000148,MEAS_UNIT_000148,C004,34.3,37.7,12.7,17.0,12,measured,S01,1.0
MEAS_R000149,MEAS_UNIT_000149,C004,30.1,37.7,9.5,22.0,15,measured,S01,1.0
MEAS_R000150,MEAS_UNIT_000150,C004,30.6,37.6,4.5,19.0,13,measured,S01,1.0
MEAS_R000151,MEAS_UNIT_000151,C028,34.5,40.3,29.7,23.0,4,measured,S01,1.0
MEAS_R000152,MEAS_UNIT_000152,C028,36.6,40.2,36.5,15.0,4,measured,S01,1.0
MEAS_R000153,MEAS_UNIT_000153,C028,37.6,40.2,35.5,13.0,2,measured,S01,1.0
MEAS_R000154,MEAS_UNIT_000154,C028,38.6,40.2,37.4,14.0,3,measured,S01,1.0
MEAS_R000155,MEAS_UNIT_000155,C028,37.7,39.8,40.4,13.0,1,measured,S01,1.0
