CowKey,EarTemperature_C,CoreReferenceTemperature_C,AmbientTemperature_C,MeasurementTime_hour
C005,36.0,37.8,31.3,15.0
C005,38.4,37.9,33.6,18.0
C005,39.1,37.8,35.0,14.0
C005,34.3,38.2,33.6,21.0
C005,36.8,38.0,31.9,17.0
C005,35.4,37.8,29.3,20.0
C005,34.6,38.2,31.0,19.0
C005,33.6,37.8,31.4,21.0
C005,34.1,38.0,32.1,1.0
C005,34.0,37.8,27.5,0.0
C005,32.4,37.8,27.2,1.0
C017,34.4,40.1,30.1,1.0
C017,31.5,38.9,30.0,12.0
C017,38.1,39.4,37.8,13.0
C017,36.1,39.2,33.9,14.0
C017,38.2,39.0,37.7,15.0
C017,36.6,39.3,34.5,18.0
C017,35.9,39.1,33.0,19.0
C017,36.7,39.6,34.5,19.0
C017,36.7,39.4,34.4,20.0
C017,35.5,39.9,33.1,21.0
C017,36.0,39.3,32.9,21.0
C017,36.6,39.4,33.9,21.0
C017,35.3,40.0,32.3,22.0
C017,36.2,39.5,32.9,22.0
C017,34.8,39.8,31.4,23.0
C017,35.7,39.4,31.9,23.0
C020,32.0,39.6,27.4,1.0
C020,35.9,38.6,33.4,12.0
C020,35.8,39.2,34.1,13.0
C020,36.2,38.8,33.7,13.0
C020,37.7,39.1,36.9,14.0
C020,36.6,39.1,35.0,15.0
C020,37.0,39.5,35.5,19.0
C020,37.1,40.2,35.5,19.0
C020,38.2,39.5,37.8,20.0
C020,35.0,39.6,33.2,21.0
C020,36.6,38.6,34.3,21.0
C020,37.3,40.4,35.6,21.0
C020,34.5,39.5,32.1,22.0
C020,37.0,40.2,35.2,22.0
C020,33.9,39.5,30.9,23.0
C020,36.2,40.2,33.9,23.0
C009,32.1,40.4,23.6,1.0
C009,36.1,39.3,32.5,13.0
C009,37.2,39.4,35.4,14.0
C009,39.3,39.5,38.8,15.0
C009,36.1,39.5,32.8,19.0
C009,36.4,40.5,32.3,21.0
C009,36.7,38.7,33.0,21.0
C009,33.4,40.8,26.5,23.0
C009,34.6,40.6,29.6,24.0
C012,34.1,40.3,30.2,1.0
C012,37.0,39.1,35.0,13.0
C012,36.6,39.0,35.0,14.0
C012,37.9,39.0,36.9,15.0
C012,38.4,39.7,37.9,15.0
C012,38.9,39.5,38.8,18.0
C012,37.4,39.5,36.0,19.0
C012,37.7,39.5,36.2,19.0
C012,37.5,39.8,35.7,20.0
C012,36.8,40.0,35.0,21.0
C012,38.2,39.4,36.8,21.0
C012,36.2,40.6,34.3,22.0
C012,35.0,40.5,32.7,23.0
C006,30.1,39.8,23.5,1.0
C006,35.1,38.5,31.4,13.0
C006,35.8,38.6,32.5,13.0
C006,35.3,39.3,31.8,14.0
C006,37.4,38.5,36.1,15.0
C006,38.1,39.7,36.5,15.0
C006,35.3,38.4,32.1,19.0
C006,36.4,38.9,33.4,19.0
C006,34.4,39.4,30.8,21.0
C006,35.3,38.5,31.5,21.0
C006,34.0,39.4,29.9,22.0
C006,35.1,39.9,30.6,22.0
C006,33.3,39.6,28.0,23.0
C006,32.8,40.0,27.7,24.0
C015,31.7,38.9,26.6,1.0
C015,34.7,38.2,32.0,12.0
C015,34.7,39.7,32.2,12.0
C015,34.6,38.2,32.1,13.0
C015,34.9,38.5,32.4,13.0
C015,36.6,38.3,35.5,14.0
C015,36.9,38.2,35.6,14.0
C015,36.5,38.2,34.8,15.0
C015,36.9,38.0,35.3,15.0
C015,35.8,39.2,33.3,18.0
C015,35.5,38.5,33.2,19.0
C015,35.5,39.0,33.1,19.0
C015,35.6,39.7,33.0,20.0
C015,34.6,40.0,30.4,21.0
C015,35.1,38.5,32.4,21.0
C015,34.2,38.4,30.8,22.0
