Actual,Predicted,Method,Residual,AbsoluteError
38.1,38.290709598735,Full TH-SHRC,-0.1907095987349976,0.1907095987349976
38.8,38.81047360496613,Full TH-SHRC,-0.010473604966129813,0.010473604966129813
38.4,38.49839354005401,Full TH-SHRC,-0.09839354005401191,0.09839354005401191
38.3,38.23250111821135,Full TH-SHRC,0.06749888178864438,0.06749888178864438
39.7,39.71564299426979,Full TH-SHRC,-0.015642994269789767,0.015642994269789767
39.6,39.60129967651978,Full TH-SHRC,-0.0012996765197783589,0.0012996765197783589
39.2,39.20195856503849,Full TH-SHRC,-0.0019585650384854603,0.0019585650384854603
38.1,38.12116832890243,Full TH-SHRC,-0.02116832890242648,0.02116832890242648
38.5,38.72936381458528,Full TH-SHRC,-0.22936381458527677,0.22936381458527677
38.5,38.50079476044965,Full TH-SHRC,-0.0007947604496507665,0.0007947604496507665
38.0,37.980210487785946,Full TH-SHRC,0.019789512214053673,0.019789512214053673
38.0,37.98417758261223,Full TH-SHRC,0.015822417387767018,0.015822417387767018
38.2,38.18076381245015,Full TH-SHRC,0.01923618754985057,0.01923618754985057
38.6,38.60340750965108,Full TH-SHRC,-0.003407509651076168,0.003407509651076168
38.5,38.523948319271625,Full TH-SHRC,-0.023948319271624996,0.023948319271624996
39.1,39.09459821852908,Full TH-SHRC,0.005401781470922629,0.005401781470922629
38.7,38.65854442693984,Full TH-SHRC,0.04145557306016201,0.04145557306016201
39.4,39.24375386340631,Full TH-SHRC,0.1562461365936869,0.1562461365936869
38.7,38.6468037194536,Full TH-SHRC,0.05319628054640191,0.05319628054640191
39.5,39.39803492485255,Full TH-SHRC,0.10196507514744724,0.10196507514744724
38.3,38.29605325079647,Full TH-SHRC,0.0039467492035285545,0.0039467492035285545
38.5,38.48090146696415,Full TH-SHRC,0.019098533035851517,0.019098533035851517
38.5,38.40333784048292,Full TH-SHRC,0.09666215951708068,0.09666215951708068
38.0,37.97522359342937,Full TH-SHRC,0.024776406570630627,0.024776406570630627
39.2,39.185784511779225,Full TH-SHRC,0.014215488220777672,0.014215488220777672
38.8,38.54189567922226,Full TH-SHRC,0.2581043207777398,0.2581043207777398
39.1,39.08190499360579,Full TH-SHRC,0.01809500639421202,0.01809500639421202
40.1,39.96627860164304,Full TH-SHRC,0.13372139835696117,0.13372139835696117
39.4,39.42408752443916,Full TH-SHRC,-0.02408752443916029,0.02408752443916029
39.9,39.866541240128186,Full TH-SHRC,0.033458759871813015,0.033458759871813015
39.5,39.393338099869005,Full TH-SHRC,0.10666190013099452,0.10666190013099452
39.6,39.783918498462654,Full TH-SHRC,-0.18391849846265274,0.18391849846265274
39.2,39.09009853190078,Full TH-SHRC,0.10990146809922408,0.10990146809922408
40.4,40.112307406822346,Full TH-SHRC,0.2876925931776526,0.2876925931776526
39.5,39.62325105290765,Full TH-SHRC,-0.12325105290764782,0.12325105290764782
40.4,40.49618745626638,Full TH-SHRC,-0.09618745626637804,0.09618745626637804
39.4,39.43873538040184,Full TH-SHRC,-0.03873538040183888,0.03873538040183888
39.0,39.09309252144608,Full TH-SHRC,-0.09309252144608138,0.09309252144608138
39.5,39.85675924961696,Full TH-SHRC,-0.3567592496169567,0.3567592496169567
40.6,40.33076957618878,Full TH-SHRC,0.26923042381122286,0.26923042381122286
38.5,38.78614145990987,Full TH-SHRC,-0.28614145990987083,0.28614145990987083
38.9,39.60349480029495,Full TH-SHRC,-0.7034948002949548,0.7034948002949548
39.6,39.696370106739344,Full TH-SHRC,-0.09637010673934299,0.09637010673934299
