"RecordID","CowKey","EarTemperature_C","CoreReferenceTemperature_C","AmbientTemperature_C","MeasurementTime_hour"
"MEAS_R000043","C029","33.2","38.5","9.0","19.0"
"MEAS_R000044","C029","31.3","38.4","6.0","21.0"
"MEAS_R000045","C029","32.1","38.4","5.4","22.0"
"MEAS_R000046","C029","32.2","38.9","5.5","23.0"
"MEAS_R000047","C001","29.8","38.0","5.4","0.0"
"MEAS_R000048","C001","26.6","38.9","5.0","11.0"
"MEAS_R000049","C001","33.1","39.2","6.1","11.0"
"MEAS_R000050","C001","31.3","38.3","6.9","12.0"
"MEAS_R000051","C001","31.9","38.0","6.8","12.0"
"MEAS_R000052","C001","31.6","38.0","9.3","13.0"
"MEAS_R000053","C001","33.3","38.2","8.0","13.0"
"MEAS_R000054","C001","31.8","38.0","8.8","14.0"
"MEAS_R000055","C001","32.0","38.4","9.1","15.0"
"MEAS_R000056","C001","33.9","38.1","11.2","15.0"
"MEAS_R000057","C001","30.5","38.2","9.0","19.0"
"MEAS_R000058","C001","29.6","38.3","6.0","21.0"
"MEAS_R000059","C001","30.6","38.1","5.4","22.0"
"MEAS_R000060","C001","30.5","38.1","5.5","23.0"
"MEAS_R000061","C027","29.5","38.9","5.4","0.0"
"MEAS_R000062","C027","30.9","41.5","6.1","11.0"
"MEAS_R000063","C027","31.5","38.7","5.0","11.0"
"MEAS_R000064","C027","31.9","38.5","6.9","12.0"
"MEAS_R000065","C027","31.1","38.6","8.0","13.0"
"MEAS_R000066","C027","32.8","38.5","9.3","13.0"
"MEAS_R000067","C027","33.8","38.6","8.8","14.0"
"MEAS_R000068","C027","30.7","38.5","11.2","15.0"
"MEAS_R000069","C027","33.9","38.5","9.1","15.0"
"MEAS_R000070","C027","32.3","39.1","9.0","19.0"
"MEAS_R000071","C027","32.5","39.1","6.0","21.0"
"MEAS_R000072","C027","32.7","38.2","5.5","23.0"
"MEAS_R000073","C026","28.6","38.3","5.4","0.0"
"MEAS_R000074","C026","33.9","38.5","8.0","13.0"
"MEAS_R000075","C026","33.9","38.6","11.2","15.0"
"MEAS_R000076","C026","30.6","39.0","9.0","19.0"
"MEAS_R000077","C026","30.7","39.1","6.0","21.0"
"MEAS_R000078","C026","30.6","38.9","5.4","22.0"
"MEAS_R000079","C026","30.7","38.6","5.5","23.0"
"MEAS_R000080","C016","28.7","38.9","5.4","0.0"
"MEAS_R000081","C016","31.8","39.2","6.1","11.0"
"MEAS_R000082","C016","32.2","38.0","6.9","12.0"
"MEAS_R000083","C016","31.9","38.1","9.3","13.0"
"MEAS_R000084","C016","33.0","38.3","8.8","14.0"
"MEAS_R000085","C016","33.2","38.7","9.1","15.0"
"MEAS_R000086","C016","32.1","39.4","9.0","19.0"
"MEAS_R000087","C016","31.1","38.6","6.0","21.0"
"MEAS_R000088","C016","31.8","38.8","5.5","23.0"
"MEAS_R000089","C022","25.4","38.1","5.4","0.0"
"MEAS_R000090","C022","25.3","38.3","5.0","11.0"
"MEAS_R000091","C022","32.2","38.1","6.1","11.0"
"MEAS_R000092","C022","29.7","38.1","6.9","12.0"
"MEAS_R000093","C022","32.8","38.7","6.8","12.0"
"MEAS_R000094","C022","31.3","38.2","9.3","13.0"
"MEAS_R000095","C022","32.5","38.7","8.0","13.0"
"MEAS_R000096","C022","31.2","39.0","8.8","14.0"
"MEAS_R000097","C022","32.3","39.5","9.1","15.0"
"MEAS_R000098","C022","33.3","38.0","11.2","15.0"
"MEAS_R000099","C022","32.9","38.3","9.0","19.0"
"MEAS_R000100","C022","31.5","38.2","6.0","21.0"
"MEAS_R000101","C022","31.1","38.2","5.4","22.0"
"MEAS_R000102","C022","32.1","38.5","5.5","23.0"
"MEAS_R000103","C014","28.2","38.5","5.4","0.0"
"MEAS_R000104","C014","30.4","38.5","5.0","11.0"
"MEAS_R000105","C014","31.0","38.0","6.1","11.0"
"MEAS_R000106","C014","31.6","38.1","6.8","12.0"
"MEAS_R000107","C014","32.0","38.2","6.9","12.0"
"MEAS_R000108","C014","30.8","37.5","8.0","13.0"
"MEAS_R000109","C014","32.7","38.1","9.3","13.0"
"MEAS_R000110","C014","33.2","38.0","8.8","14.0"
"MEAS_R000111","C014","33.5","38.0","11.2","15.0"
"MEAS_R000112","C014","32.1","39.0","9.0","19.0"
"MEAS_R000113","C014","31.2","39.2","6.0","21.0"
"MEAS_R000114","C014","31.5","38.8","5.4","22.0"
"MEAS_R000115","C014","31.0","38.4","5.5","23.0"
"MEAS_R000116","C023","30.7","38.3","5.4","0.0"
"MEAS_R000117","C023","30.4","38.3","5.0","11.0"
"MEAS_R000118","C023","32.6","39.4","6.1","11.0"
"MEAS_R000119","C023","31.7","39.2","6.9","12.0"
"MEAS_R000120","C023","33.2","39.0","6.8","12.0"
"MEAS_R000121","C023","32.8","38.8","9.3","13.0"
"MEAS_R000122","C023","33.0","38.9","8.0","13.0"
"MEAS_R000123","C023","33.7","38.6","8.8","14.0"
"MEAS_R000124","C023","32.4","39.1","11.2","15.0"
"MEAS_R000125","C023","35.3","39.0","9.1","15.0"
"MEAS_R000126","C023","32.1","39.1","9.0","19.0"
"MEAS_R000127","C023","33.5","39.9","6.0","21.0"
"MEAS_R000128","C023","33.8","39.4","5.4","22.0"
"MEAS_R000129","C023","33.3","39.3","5.5","23.0"
"MEAS_R000130","C011","28.2","38.1","13.1","11.0"
"MEAS_R000131","C011","30.2","38.0","16.0","12.0"
"MEAS_R000132","C011","30.8","37.9","18.3","13.0"
"MEAS_R000133","C011","31.9","38.1","20.8","14.0"
"MEAS_R000134","C011","32.6","38.1","22.0","15.0"
"MEAS_R000135","C011","30.2","38.4","13.4","21.0"
"MEAS_R000136","C011","30.7","39.1","11.8","22.0"
"MEAS_R000137","C011","30.6","38.2","10.9","23.0"
"MEAS_R000138","C011","29.6","38.1","10.9","24.0"
"MEAS_R000139","C004","28.8","37.8","7.9","1.0"
"MEAS_R000140","C004","27.6","37.6","3.5","14.0"
"MEAS_R000141","C004","32.4","37.5","4.6","12.0"
"MEAS_R000142","C004","30.6","37.6","9.4","9.0"
"MEAS_R000143","C004","32.3","37.6","5.3","11.0"
"MEAS_R000144","C004","31.2","37.5","8.8","12.0"
"MEAS_R000145","C004","32.9","37.6","5.5","10.0"
"MEAS_R000146","C004","31.1","37.5","11.3","12.0"
"MEAS_R000147","C004","31.0","37.5","8.6","13.0"
"MEAS_R000148","C004","34.3","37.7","12.7","17.0"
"MEAS_R000149","C004","30.1","37.7","9.5","22.0"
"MEAS_R000150","C004","30.6","37.6","4.5","19.0"
"MEAS_R000151","C028","34.5","40.3","29.7","23.0"
"MEAS_R000152","C028","36.6","40.2","36.5","15.0"
"MEAS_R000153","C028","37.6","40.2","35.5","13.0"
"MEAS_R000154","C028","38.6","40.2","37.4","14.0"
"MEAS_R000155","C028","37.7","39.8","40.4","13.0"
"MEAS_R000156","C028","39.9","40.3","38.3","21.0"
"MEAS_R000157","C028","38.4","40.1","38.5","20.0"
"MEAS_R000158","C028","37.3","40.3","36.7","22.0"
"MEAS_R000159","C028","36.8","40.1","36.2","17.0"
"MEAS_R000160","C028","37.2","40.1","37.5","23.0"
"MEAS_R000161","C028","38.6","40.2","37.3","0.0"
"MEAS_R000162","C028","37.2","40.3","34.8","20.0"
"MEAS_R000163","C028","35.4","40.3","33.2","1.0"
"MEAS_R000164","C008","33.6","38.3","2.9","21.0"
"MEAS_R000165","C008","31.2","38.2","4.6","14.0"
"MEAS_R000166","C008","32.1","38.1","6.5","9.0"
"MEAS_R000167","C008","33.2","38.1","8.4","11.0"
"MEAS_R000168","C008","36.6","38.1","9.3","11.0"
"MEAS_R000169","C008","33.3","38.1","5.5","11.0"
"MEAS_R000170","C008","34.3","38.1","10.8","10.0"
"MEAS_R000171","C008","35.5","38.2","11.3","16.0"
"MEAS_R000172","C008","35.0","38.2","9.6","16.0"
"MEAS_R000173","C008","34.4","38.2","7.5","17.0"
"MEAS_R000174","C008","31.6","38.3","3.5","22.0"
"MEAS_R000175","C008","33.6","38.2","7.9","1.0"
"MEAS_R000176","C030","27.8","40.1","6.9","1.0"
"MEAS_R000177","C030","30.0","40.2","2.5","14.0"
"MEAS_R000178","C030","32.0","40.3","6.6","8.0"
"MEAS_R000179","C030","30.6","40.3","4.3","9.0"
"MEAS_R000180","C030","31.0","40.3","5.4","10.0"
"MEAS_R000181","C030","30.4","40.3","10.5","10.0"
"MEAS_R000182","C030","31.7","40.2","11.8","12.0"
"MEAS_R000183","C030","34.2","40.2","8.3","16.0"
"MEAS_R000184","C030","32.5","40.2","11.7","13.0"
"MEAS_R000185","C030","32.8","40.2","8.5","18.0"
"MEAS_R000186","C030","32.2","40.2","3.5","20.0"
"MEAS_R000187","C030","32.2","40.2","7.9","21.0"
"MEAS_R000188","C030","30.6","40.1","3.0","0.0"
"MEAS_R000189","C030","27.8","40.2","6.9","21.0"
"MEAS_R000190","C018","30.4","38.8","3.9","2.0"
"MEAS_R000191","C018","32.3","38.8","6.6","9.0"
"MEAS_R000192","C018","30.8","38.8","4.4","9.0"
"MEAS_R000193","C018","32.6","38.8","5.3","9.0"
"MEAS_R000194","C018","32.9","38.8","8.8","15.0"
"MEAS_R000195","C018","32.9","38.8","6.5","11.0"
"MEAS_R000196","C018","32.7","38.8","11.7","11.0"
"MEAS_R000197","C018","34.9","38.8","13.7","18.0"
"MEAS_R000198","C018","36.0","38.8","10.6","18.0"
"MEAS_R000199","C018","31.0","38.8","7.5","16.0"
"MEAS_R000200","C018","32.4","38.8","7.5","0.0"
"MEAS_R000201","C018","34.1","38.8","4.0","0.0"
"MEAS_R000202","C025","29.2","39.4","13.6","14.0"
"MEAS_R000203","C025","29.5","39.5","16.5","10.0"
"MEAS_R000204","C025","31.5","39.5","16.8","14.0"
"MEAS_R000205","C025","31.2","39.4","21.3","15.0"
"MEAS_R000206","C025","31.9","39.4","24.5","14.0"
"MEAS_R000207","C025","29.8","39.4","14.9","23.0"
"MEAS_R000208","C025","31.4","39.4","14.3","23.0"
"MEAS_R000209","C025","31.3","39.5","12.4","1.0"
"MEAS_R000210","C025","30.0","39.4","8.4","21.0"
"MEAS_R000211","C010","35.0","38.7","28.5","2.0"
"MEAS_R000212","C010","37.5","38.6","32.6","14.0"
"MEAS_R000213","C010","37.8","38.7","34.3","13.0"
"MEAS_R000214","C010","35.5","38.6","31.2","14.0"
"MEAS_R000215","C010","38.4","38.7","33.8","11.0"
"MEAS_R000216","C010","37.8","38.6","33.0","12.0"
"MEAS_R000217","C010","39.6","38.7","36.7","12.0"
"MEAS_R000218","C010","39.0","38.6","34.2","12.0"
"MEAS_R000219","C010","38.5","38.7","37.4","18.0"
"MEAS_R000220","C010","38.0","38.6","32.9","20.0"
"MEAS_R000221","C010","37.2","38.6","33.7","18.0"
"MEAS_R000222","C010","37.3","38.6","32.3","17.0"
"MEAS_R000223","C010","37.3","38.7","31.9","20.0"
"MEAS_R000224","C010","38.7","38.7","32.6","22.0"
"MEAS_R000225","C019","31.5","39.5","25.1","23.0"
"MEAS_R000226","C019","36.8","39.5","31.0","14.0"
"MEAS_R000227","C019","36.8","39.4","36.9","17.0"
"MEAS_R000228","C019","38.9","39.5","41.3","14.0"
"MEAS_R000229","C019","35.4","39.4","34.3","16.0"
"MEAS_R000230","C019","35.7","39.5","34.8","19.0"
"MEAS_R000231","C019","37.1","39.6","30.5","0.0"
"MEAS_R000232","C019","34.1","39.5","25.0","0.0"
"MEAS_R000233","C019","35.6","39.5","31.1","2.0"
"MEAS_R000234","C019","31.6","39.5","21.1","23.0"
"MEAS_R000235","C019","35.4","39.5","34.0","16.0"
"MEAS_R000236","C019","36.2","39.4","36.9","11.0"
"MEAS_R000237","C019","39.7","39.5","36.3","16.0"
"MEAS_R000238","C005","29.7","37.8","26.0","3.0"
"MEAS_R000239","C005","34.1","37.8","33.9","11.0"
"MEAS_R000240","C005","35.4","37.9","31.0","12.0"
"MEAS_R000241","C005","36.0","37.8","31.3","15.0"
"MEAS_R000242","C005","38.4","37.9","33.6","18.0"
"MEAS_R000243","C005","39.1","37.8","35.0","14.0"
"MEAS_R000244","C005","34.3","38.2","33.6","21.0"
"MEAS_R000245","C005","36.8","38.0","31.9","17.0"
"MEAS_R000246","C005","35.4","37.8","29.3","20.0"
"MEAS_R000247","C005","34.6","38.2","31.0","19.0"
"MEAS_R000248","C005","33.6","37.8","31.4","21.0"
"MEAS_R000249","C005","34.1","38.0","32.1","1.0"
"MEAS_R000250","C005","34.0","37.8","27.5","0.0"
"MEAS_R000251","C005","32.4","37.8","27.2","1.0"
"MEAS_R000252","C017","34.4","40.1","30.1","1.0"
"MEAS_R000253","C017","31.5","38.9","30.0","12.0"
"MEAS_R000254","C017","38.1","39.4","37.8","13.0"
"MEAS_R000255","C017","36.1","39.2","33.9","14.0"
"MEAS_R000256","C017","38.2","39.0","37.7","15.0"
"MEAS_R000257","C017","36.6","39.3","34.5","18.0"
"MEAS_R000258","C017","35.9","39.1","33.0","19.0"
"MEAS_R000259","C017","36.7","39.6","34.5","19.0"
"MEAS_R000260","C017","36.7","39.4","34.4","20.0"
"MEAS_R000261","C017","35.5","39.9","33.1","21.0"
"MEAS_R000262","C017","36.0","39.3","32.9","21.0"
"MEAS_R000263","C017","36.6","39.4","33.9","21.0"
"MEAS_R000264","C017","35.3","40.0","32.3","22.0"
"MEAS_R000265","C017","36.2","39.5","32.9","22.0"
"MEAS_R000266","C017","34.8","39.8","31.4","23.0"
"MEAS_R000267","C017","35.7","39.4","31.9","23.0"
"MEAS_R000268","C020","32.0","39.6","27.4","1.0"
"MEAS_R000269","C020","35.9","38.6","33.4","12.0"
"MEAS_R000270","C020","35.8","39.2","34.1","13.0"
"MEAS_R000271","C020","36.2","38.8","33.7","13.0"
"MEAS_R000272","C020","37.7","39.1","36.9","14.0"
"MEAS_R000273","C020","36.6","39.1","35.0","15.0"
"MEAS_R000274","C020","37.0","39.5","35.5","19.0"
"MEAS_R000275","C020","37.1","40.2","35.5","19.0"
"MEAS_R000276","C020","38.2","39.5","37.8","20.0"
"MEAS_R000277","C020","35.0","39.6","33.2","21.0"
"MEAS_R000278","C020","36.6","38.6","34.3","21.0"
"MEAS_R000279","C020","37.3","40.4","35.6","21.0"
"MEAS_R000280","C020","34.5","39.5","32.1","22.0"
"MEAS_R000281","C020","37.0","40.2","35.2","22.0"
"MEAS_R000282","C020","33.9","39.5","30.9","23.0"
"MEAS_R000283","C020","36.2","40.2","33.9","23.0"
"MEAS_R000284","C009","32.1","40.4","23.6","1.0"
"MEAS_R000285","C009","36.1","39.3","32.5","13.0"
"MEAS_R000286","C009","37.2","39.4","35.4","14.0"
"MEAS_R000287","C009","39.3","39.5","38.8","15.0"
"MEAS_R000288","C009","36.1","39.5","32.8","19.0"
"MEAS_R000289","C009","36.4","40.5","32.3","21.0"
"MEAS_R000290","C009","36.7","38.7","33.0","21.0"
"MEAS_R000291","C009","33.4","40.8","26.5","23.0"
"MEAS_R000292","C009","34.6","40.6","29.6","24.0"
"MEAS_R000293","C012","34.1","40.3","30.2","1.0"
"MEAS_R000294","C012","37.0","39.1","35.0","13.0"
"MEAS_R000295","C012","36.6","39.0","35.0","14.0"
"MEAS_R000296","C012","37.9","39.0","36.9","15.0"
"MEAS_R000297","C012","38.4","39.7","37.9","15.0"
"MEAS_R000298","C012","38.9","39.5","38.8","18.0"
"MEAS_R000299","C012","37.4","39.5","36.0","19.0"
"MEAS_R000300","C012","37.7","39.5","36.2","19.0"
"MEAS_R000301","C012","37.5","39.8","35.7","20.0"
"MEAS_R000302","C012","36.8","40.0","35.0","21.0"
"MEAS_R000303","C012","38.2","39.4","36.8","21.0"
"MEAS_R000304","C012","36.2","40.6","34.3","22.0"
"MEAS_R000305","C012","35.0","40.5","32.7","23.0"
"MEAS_R000306","C006","30.1","39.8","23.5","1.0"
"MEAS_R000307","C006","35.1","38.5","31.4","13.0"
"MEAS_R000308","C006","35.8","38.6","32.5","13.0"
"MEAS_R000309","C006","35.3","39.3","31.8","14.0"
"MEAS_R000310","C006","37.4","38.5","36.1","15.0"
"MEAS_R000311","C006","38.1","39.7","36.5","15.0"
"MEAS_R000312","C006","35.3","38.4","32.1","19.0"
"MEAS_R000313","C006","36.4","38.9","33.4","19.0"
"MEAS_R000314","C006","34.4","39.4","30.8","21.0"
"MEAS_R000315","C006","35.3","38.5","31.5","21.0"
"MEAS_R000316","C006","34.0","39.4","29.9","22.0"
"MEAS_R000317","C006","35.1","39.9","30.6","22.0"
"MEAS_R000318","C006","33.3","39.6","28.0","23.0"
"MEAS_R000319","C006","32.8","40.0","27.7","24.0"
"MEAS_R000320","C015","31.7","38.9","26.6","1.0"
"MEAS_R000321","C015","34.7","38.2","32.0","12.0"
"MEAS_R000322","C015","34.7","39.7","32.2","12.0"
"MEAS_R000323","C015","34.6","38.2","32.1","13.0"
"MEAS_R000324","C015","34.9","38.5","32.4","13.0"
"MEAS_R000325","C015","36.6","38.3","35.5","14.0"
"MEAS_R000326","C015","36.9","38.2","35.6","14.0"
"MEAS_R000327","C015","36.5","38.2","34.8","15.0"
"MEAS_R000328","C015","36.9","38.0","35.3","15.0"
"MEAS_R000329","C015","35.8","39.2","33.3","18.0"
"MEAS_R000330","C015","35.5","38.5","33.2","19.0"
"MEAS_R000331","C015","35.5","39.0","33.1","19.0"
"MEAS_R000332","C015","35.6","39.7","33.0","20.0"
"MEAS_R000333","C015","34.6","40.0","30.4","21.0"
"MEAS_R000334","C015","35.1","38.5","32.4","21.0"
"MEAS_R000335","C015","34.2","38.4","30.8","22.0"
"MEAS_R000336","C015","35.0","38.8","31.4","22.0"
"MEAS_R000337","C015","33.8","39.1","29.5","23.0"
"MEAS_R000338","C007","35.7","40.1","29.0","1.0"
"MEAS_R000339","C007","36.5","38.4","32.1","12.0"
"MEAS_R000340","C007","37.4","39.8","32.8","12.0"
"MEAS_R000341","C007","36.5","38.5","31.7","13.0"
"MEAS_R000342","C007","37.4","40.0","33.3","13.0"
"MEAS_R000343","C007","37.1","39.3","33.5","14.0"
"MEAS_R000344","C007","39.2","39.9","37.2","14.0"
"MEAS_R000345","C007","38.3","39.7","35.7","15.0"
"MEAS_R000346","C007","38.9","39.7","35.9","15.0"
"MEAS_R000347","C007","37.6","39.5","33.4","18.0"
"MEAS_R000348","C007","37.6","39.7","34.2","19.0"
"MEAS_R000349","C007","36.9","39.6","33.8","20.0"
"MEAS_R000350","C007","36.9","39.3","32.4","21.0"
"MEAS_R000351","C007","37.7","40.7","33.1","21.0"
"MEAS_R000352","C007","35.0","39.2","28.7","22.0"
"MEAS_R000353","C007","35.2","39.4","30.1","22.0"
"MEAS_R000354","C007","37.2","40.6","31.8","22.0"
"MEAS_R000355","C007","34.9","38.3","27.6","23.0"
"MEAS_R000356","C007","34.6","40.2","27.1","24.0"
"MEAS_R000357","C013","29.3","39.3","20.6","1.0"
"MEAS_R000358","C013","34.7","38.7","30.0","12.0"
"MEAS_R000359","C013","35.2","38.6","30.9","13.0"
"MEAS_R000360","C013","34.8","38.6","30.3","19.0"
"MEAS_R000361","C013","35.8","39.3","32.1","19.0"
"MEAS_R000362","C013","34.5","39.2","29.7","21.0"
"MEAS_R000363","C013","34.8","38.5","29.8","21.0"
"MEAS_R000364","C013","33.8","39.1","27.6","22.0"
"MEAS_R000365","C013","33.0","39.1","25.7","23.0"
"MEAS_R000366","C013","32.9","39.0","25.3","24.0"
"MEAS_R000367","C024","36.1","38.0","34.0","12.0"
"MEAS_R000368","C024","36.0","38.0","33.2","13.0"
"MEAS_R000369","C024","36.9","38.6","34.5","13.0"
"MEAS_R000370","C024","36.0","38.3","33.0","14.0"
"MEAS_R000371","C024","37.1","38.3","35.1","14.0"
"MEAS_R000372","C024","37.7","38.2","36.2","15.0"
"MEAS_R000373","C024","38.2","38.4","37.2","15.0"
"MEAS_R000374","C024","37.7","38.7","35.7","19.0"
"MEAS_R000375","C024","36.7","38.2","33.9","20.0"
"MEAS_R000376","C024","37.9","38.9","35.1","20.0"
"MEAS_R000377","C024","35.4","40.4","31.9","21.0"
"MEAS_R000378","C024","36.5","38.4","33.6","21.0"
"MEAS_R000379","C024","38.1","39.2","35.1","21.0"
"MEAS_R000380","C024","35.9","41.2","32.3","22.0"
"MEAS_R000381","C024","36.3","38.5","33.3","22.0"
"MEAS_R000382","C024","35.2","40.5","30.6","23.0"
"MEAS_R000383","C024","34.0","40.2","28.8","24.0"
"MEAS_R000384","C001","31.9","38.2","7.2","12.0"
"MEAS_R000385","C001","30.7","38.3","11.2","16.0"
"MEAS_R000386","C001","32.5","38.3","12.3","17.0"
"MEAS_R000387","C001","35.3","38.2","14.4","14.0"
"MEAS_R000388","C002","36.7","39.0","5.2","15.0"
"MEAS_R000389","C002","34.2","39.0","4.8","12.0"
"MEAS_R000390","C002","33.4","39.0","11.7","12.0"
"MEAS_R000391","C002","34.8","39.0","8.0","13.0"
"MEAS_R000392","C003","32.8","38.5","6.0","15.0"
"MEAS_R000393","C003","34.1","38.6","10.9","11.0"
"MEAS_R000394","C003","32.9","38.5","6.4","15.0"
"MEAS_R000395","C003","32.0","38.5","8.0","12.0"
"MEAS_R000396","C003","34.7","38.6","10.4","16.0"
"MEAS_R000397","C004","29.6","37.6","4.9","23.0"
"MEAS_R000398","C004","30.9","37.7","3.0","20.0"
"MEAS_R000399","C004","28.8","37.7","2.9","23.0"
"MEAS_R000400","C004","27.6","37.5","7.5","13.0"
"MEAS_R000401","C004","32.1","37.6","7.6","8.0"
"MEAS_R000402","C005","31.1","37.8","21.0","0.0"
"MEAS_R000403","C005","35.8","37.7","28.9","15.0"
"MEAS_R000404","C005","36.5","37.9","34.0","16.0"
"MEAS_R000405","C005","36.3","37.7","32.3","17.0"
"MEAS_R000406","C006","33.4","39.5","30.1","23.0"
"MEAS_R000407","C006","29.3","39.6","25.1","4.0"
"MEAS_R000408","C006","34.6","39.4","33.0","11.0"
"MEAS_R000409","C006","34.7","38.7","33.3","15.0"
"MEAS_R000410","C008","34.2","38.2","6.0","2.0"
"MEAS_R000411","C008","33.9","38.2","7.9","1.0"
"MEAS_R000412","C008","30.1","38.1","7.6","9.0"
"MEAS_R000413","C008","33.5","38.1","7.5","10.0"
"MEAS_R000414","C008","33.2","38.2","8.4","15.0"
"MEAS_R000415","C009","35.9","39.7","33.8","18.0"
"MEAS_R000416","C009","34.8","40.4","27.3","22.0"
"MEAS_R000417","C009","35.7","40.4","32.0","2.0"
"MEAS_R000418","C009","32.6","40.5","22.0","23.0"
"MEAS_R000419","C009","35.6","39.6","31.7","16.0"
"MEAS_R000420","C009","36.1","39.6","32.2","16.0"
"MEAS_R000421","C009","39.8","39.5","40.4","18.0"
"MEAS_R000422","C009","36.9","39.7","32.0","18.0"
"MEAS_R000423","C010","34.0","38.7","28.2","21.0"
"MEAS_R000424","C010","35.9","38.6","32.6","19.0"
"MEAS_R000425","C010","36.2","38.8","31.3","21.0"
"MEAS_R000426","C010","34.5","38.7","30.1","21.0"
"MEAS_R000427","C011","31.2","38.3","14.2","1.0"
"MEAS_R000428","C011","29.5","38.3","11.7","21.0"
"MEAS_R000429","C011","31.1","38.4","8.5","23.0"
"MEAS_R000430","C011","27.7","38.1","9.9","12.0"
"MEAS_R000431","C011","29.1","38.2","16.8","11.0"
"MEAS_R000432","C011","30.0","38.2","19.1","10.0"
"MEAS_R000433","C011","30.8","38.1","20.0","15.0"
"MEAS_R000434","C011","34.0","38.1","24.4","14.0"
"MEAS_R000435","C012","37.1","39.5","35.2","20.0"
"MEAS_R000436","C012","35.7","40.2","31.9","19.0"
"MEAS_R000437","C012","35.5","40.3","35.9","20.0"
"MEAS_R000438","C012","32.7","40.4","27.0","23.0"
"MEAS_R000439","C013","35.3","39.0","30.5","18.0"
"MEAS_R000440","C013","34.0","39.1","31.3","22.0"
"MEAS_R000441","C013","35.3","38.7","31.4","22.0"
"MEAS_R000442","C013","34.6","39.1","29.2","21.0"
"MEAS_R000443","C013","34.4","39.1","24.9","2.0"
"MEAS_R000444","C013","34.1","39.1","22.9","22.0"
"MEAS_R000445","C013","28.5","39.1","18.2","4.0"
"MEAS_R000446","C014","29.6","38.0","8.2","13.0"
"MEAS_R000447","C014","30.5","38.3","7.7","9.0"
"MEAS_R000448","C014","33.0","38.3","3.6","10.0"
"MEAS_R000449","C014","32.8","38.3","6.1","10.0"
"MEAS_R000450","C016","34.3","38.6","9.9","16.0"
"MEAS_R000451","C016","33.5","38.7","5.8","17.0"
"MEAS_R000452","C016","30.6","38.7","2.8","0.0"
"MEAS_R000453","C016","31.0","38.8","2.3","20.0"
"MEAS_R000454","C016","27.6","38.7","7.0","23.0"
"MEAS_R000455","C016","31.0","38.7","4.5","9.0"
"MEAS_R000456","C016","31.1","38.8","4.5","9.0"
"MEAS_R000457","C016","30.8","38.6","11.7","12.0"
"MEAS_R000458","C017","35.0","39.0","36.3","15.0"
"MEAS_R000459","C017","39.3","39.4","40.9","16.0"
"MEAS_R000460","C018","30.7","38.8","2.9","3.0"
"MEAS_R000461","C018","32.7","38.8","4.6","9.0"
"MEAS_R000462","C018","32.5","38.8","5.4","14.0"
